lls0,P_zDM0,P_n0,P_s0,N0,lls1,P_zDM1,P_n1,P_s1,N1,lls2,P_zDM2,P_n2,P_s2,N2,lls3,P_zDM3,P_n3,P_s3,N3,lls4,P_zDM4,P_n4,P_s4,N4,lls,P_zDM,P_n,P_s,p_zgDM,p_DM,p_DMgz,p_z,lEmax
-122.35276353229486,-57.93053896429274,-1.071144639512233,-63.35107992848988,18.682069632235333,-6.945350543393946,-4.894615829613366,-0.4408949945082637,-1.6098397192723162,1.1846218606884407,-50.84727985589706,-31.36487566790242,-0.9524197627268441,-18.529984425267795,10.04512098570046,-95.97807660473363,-65.15507580413245,-1.0204168266502984,-29.802583973950878,12.3532950115428,-110.45957295849799,-73.01853854376452,-1.067043793011609,-36.37399062172186,9.55687842253557,-386.58304349481745,-232.36364480970548,-4.551920016409248,-149.66747866870273,-46.67778470757743,-39.83135552455418,-35.3922839088572,-51.116856323274405,42.33673469387755
-122.68894042432399,-58.143636348878545,-1.0568104221223218,-63.488493653323125,19.303278434551498,-6.964444013884016,-4.912074680494829,-0.44179078913889663,-1.610578544250291,1.1974814188978693,-50.978102700889515,-31.458998855851107,-0.9658146562041166,-18.5532891888343,10.192429211391836,-96.04255813567858,-65.23314771030007,-1.0114394204340247,-29.797971004944472,12.517572089869446,-110.60488967013455,-73.05772155438024,-1.0829282097331596,-36.46423990602116,9.418755628216974,-387.2789349449106,-232.8055791499048,-4.558783497632519,-149.91457229737335,-46.708885553635966,-39.998330854048774,-35.39134404498671,-51.315872362698016,42.39795918367347
-123.05734182726009,-58.37990569006128,-1.0514396496699814,-63.62599648752883,19.951758891400065,-6.982445178713432,-4.928544645169178,-0.4426551330112366,-1.611245400533017,1.209258340826509,-51.1090159134029,-31.553072405675657,-0.9799175275798186,-18.57602598014742,10.339556060019742,-96.116604957748,-65.31393005401267,-1.003855211883541,-29.79881969185176,12.674210522634208,-110.74439524465494,-73.09537011062658,-1.0994124535333265,-36.54961268049503,9.284731321415814,-388.0098031217793,-233.27082290554534,-4.577279975677904,-150.16170024055606,-46.73799015650736,-40.163864215200974,-35.39062316000023,-51.51123121170811,42.45918367346939
-123.45492067070973,-58.636645336230785,-1.0555861078119038,-63.76268922666704,20.626286372428503,-6.99936589355352,-4.944041654092947,-0.4434774565156011,-1.6118467829449714,1.2199747070819706,-51.23909301290489,-31.64641773517271,-0.9946287741767045,-18.598046503555466,10.485758547064503,-96.19809164753933,-65.3961690241656,-0.9975206761069325,-29.80440194726679,12.822769878444763,-110.87791848537077,-73.13139914659652,-1.1163656899978132,-36.630153648776435,9.155274706079824,-388.76938971007826,-233.75467289625857,-4.6075787046089545,-150.4071381092107,-46.7650745683793,-40.32682662524999,-35.390078211559896,-51.7018229820694,42.52040816326531
-123.87834422732547,-58.91099208631506,-1.0696797379860064,-63.89767240302441,21.325225717405875,-7.015226798206459,-4.958587895765712,-0.4442502337258096,-1.6123886687149374,1.2296689636671554,-51.36750080040789,-31.738425060278892,-1.0098384918252825,-18.619237248303715,10.630314010214986,-96.28504843293035,-65.47877476455024,-0.9922913666290298,-29.81398230175109,12.962972941603866,-111.00534759172896,-73.16575500965303,-1.1336521001228692,-36.70594048195307,9.030777445308836,-389.5514678505991,-234.25253481656293,-4.649711930288998,-150.6492211037472,-46.79015102653163,-40.48624547598689,-35.38967382817441,-51.8867226743441,42.58163265306123
-124.32407518618916,-59.19999614038076,-1.094005601510787,-64.03007344429761,22.046518439055248,-7.030056243213505,-4.972210922521015,-0.4449687703660299,-1.6128765503264608,1.2383931499999452,-51.493499170547544,-31.828555867103372,-1.0254296076391998,-18.639513695804975,10.772533996970681,-96.37570248459666,-65.56082224648735,-0.9880263869304949,-29.826853851178814,13.094705757616156,-111.12662099216251,-73.1984106385954,-1.1511346321484706,-36.77707572141864,8.911552289089636,-390.3499540767094,-234.7599958150879,-4.703564998594982,-150.8863932630265,-46.813261379244146,-40.64130193350179,-35.389380857895745,-52.065182454850195,42.642857142857146
-124.78850018875147,-59.50064818316922,-1.128690799828083,-64.15916120575417,22.78776934807587,-7.043888360393192,-4.98494220079669,-0.4456306927308411,-1.6133154668656613,1.2462076491563245,-51.61644562040884,-31.91634721453598,-1.0412819765505001,-18.658816429322354,10.911783638496154,-96.4684971947679,-65.64154478194077,-0.9845924032916338,-29.842360009535504,13.217997862955622,-111.241720299168,-73.22936138521587,-1.1686794480928089,-36.843679465859324,8.79782840096989,-391.1590516634894,-235.2728437656585,-4.768875320493867,-151.11733257733704,-46.83447130131744,-40.7913260749354,-35.38917529354987,-52.23662208270296,42.70408163265306
-125.26800525822358,-59.80993663180409,-1.173698038697563,-64.28437058772192,23.54628047050388,-7.056761284043423,-4.996815815657342,-0.44623543472311844,-1.6137100336629624,1.2531769350108868,-51.73579561902615,-32.00141140544065,-1.0572761797761001,-18.677108033809397,11.047495403972695,-96.56208891108868,-65.72031600992375,-0.9818666412007505,-29.859906259964177,13.332987597336674,-111.35066241160061,-73.25862212405458,-1.1861596504882312,-36.90588063705779,8.689752427095668,-391.97331348398245,-235.78710198688043,-4.845235944885763,-151.34097555221626,-46.85385812098134,-40.935789280063794,-35.38903746105417,-52.40060993999096,42.765306122448976
-125.75900146406433,-60.124941393806964,-1.2288196266868001,-64.40524044357056,24.319022805781696,-7.068716169738313,-5.007867849035368,-0.44678384915155034,-1.6140644715513952,1.2593672166651952,-51.85109913688494,-32.08343326179861,-1.0732962827125545,-18.694369592373782,11.179173235957412,-96.65533478390202,-65.79663147713782,-0.9797384674319073,-29.878964839332287,13.439887242235358,-111.45350073045019,-73.28622271416828,-1.2034575827887173,-36.9638204334932,8.587397115487878,-392.78765228503977,-236.29909669594704,-4.932095808771529,-151.55645978032123,-46.871504854481174,-41.074290438899055,-35.38895136813524,-52.55684392524498,42.826530612244895
-126.2579365040459,-60.442920528101254,-1.2936729233641961,-64.52134305258045,25.102619955737158,-7.079797030150894,-5.018136347686352,-0.44727804738103283,-1.6143826350835093,1.2648466684235409,-51.96199260037075,-32.1621639227373,-1.0892316887537423,-18.710596988879704,11.306390572873514,-96.74728120638123,-65.87009694671579,-0.978109518580704,-29.89907474108475,13.5389721815281,-111.55032312097805,-73.31220442206744,-1.2204659958787278,-37.01765270303188,8.490773371152141,-393.59733046192684,-236.80552216730814,-5.028758173958403,-151.7630501206603,-46.88749751634245,-41.20654338335143,-35.38890414651675,-52.70513675317713,42.88775510204081
-126.7613588803585,-60.76134213998387,-1.3677088651198097,-64.63230787525482,25.893451770657773,-7.09004998649435,-5.0276608022781595,-0.4477211443770715,-1.6146680398391189,1.2696843929951551,-52.06819202085134,-32.23741403268072,-1.1049790061077298,-18.72579898206289,11.428790560892566,-96.83715597068588,-65.94042351460924,-0.9768932374036428,-29.919839218673005,13.630587561150904,-111.64124590351561,-73.33661785390822,-1.2370891576172944,-37.0675388919901,8.399838940832126,-394.3980027619057,-237.30345834346022,-5.134391410625549,-151.96015300781994,-46.9019263713265,-41.332366847087144,-35.388885551768546,-52.845407666645116,42.94897959183673
-127.26597841210945,-61.077890727868095,-1.4502293897355683,-64.73785829450578,26.687763112923903,-7.099521586365933,-5.0364809194655376,-0.44811677821642987,-1.6149238886839654,1.2739468533765672,-52.16948922054545,-32.30905083619797,-1.1204440936621765,-18.73999429068531,11.54608927384555,-96.92435270083135,-66.00741652651952,-0.9760145759616845,-29.940921598350148,13.715136130763648,-111.7264090094738,-73.35952122123587,-1.2532441029615315,-37.11364368527641,8.314503527827494,-395.18575092932593,-237.79036023128697,-5.248048940537391,-152.1473417575016,-46.91488637963842,-41.451671769498134,-35.38888750867538,-52.97767064046116,43.01020408163265
-127.7687174701926,-61.39046093707947,-1.540411171981674,-64.83784536113146,27.48176579840486,-7.108257662789078,-5.044635845135247,-0.4484687225750108,-1.6151530950788209,1.2776953156385717,-52.2657503724464,-32.376996526545334,-1.1355442768855293,-18.753209569015535,11.658081390680662,-97.00840322107713,-66.07095409150921,-0.9754095933611004,-29.962039536206827,13.793036930914395,-111.80597132736648,-73.38097922197517,-1.2688620264235075,-37.156130078967806,8.234631135509254,-395.95710005387167,-238.26402662224442,-5.368695791226822,-152.32437764040046,-46.926471871731685,-41.564447565126784,-35.3889037071213,-53.10201572973715,43.07142857142857
-128.2667277434954,-61.697187379795025,-1.6373288183682093,-64.93221154533217,28.271695061373446,-7.116303430168765,-5.052164305530127,-0.44878081903376027,-1.615358305604878,1.2809865371375084,-52.35690891306922,-32.44122217331196,-1.1502089503525348,-18.765477789404727,11.764635187359229,-97.08895358792986,-66.13097068254608,-0.9750243857755072,-29.982958519608275,13.864698370609235,-111.88011046970291,-73.40106063358336,-1.2838880101224543,-37.19516182599711,8.160049034342286,-396.7090041443662,-238.72260517476656,-5.4952309836524655,-152.49116798594716,-46.936769712023654,-41.67075199710663,-35.38892925453326,-53.21859245459703,43.13265306122449
