0.1 895 89 16
0.177828 830 137 33
0.316228 747 196 57
0.562341 653 221 126
1 453 311 236
1.77828 256 243 501
3.16228 105 159 736
5.62341 21 64 915
10 2 9 989
0.1 926 56 18
0.177828 869 86 45
0.316228 804 121 75
0.562341 705 157 138
1 538 172 290
1.77828 378 179 443
3.16228 209 148 643
5.62341 93 56 851
10 15 24 961
0.1 932 34 34
0.177828 899 47 54
0.316228 880 57 63
0.562341 786 60 154
1 725 63 212
1.77828 613 86 301
3.16228 481 66 453
5.62341 369 42 589
10 246 30 724
