#No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
38,WISEA J221430.60-185707.7,333.62746,-18.95219,G,21367.00,0.071274,PHOT,18.17,53.358,1,0,34,7,1,2,0
39,WISEA J221035.95-201355.1,332.65042,-20.23236,G,23767.00,0.079278,PHOT,17.63,53.542,2,0,44,7,1,2,0
40,WISEA J221037.91-201716.1,332.65809,-20.28786,G,20256.00,0.067567,,16.15,54.728,7,0,32,7,3,2,0
41,WISEA J221002.99-194712.2,332.51242,-19.78658,G,17090.00,0.057006,PHOT,16.84,55.819,4,0,36,7,1,2,0
42,WISEA J221110.31-191040.5,332.79296,-19.17792,G,21865.00,0.072934,PHOT,16.65,56.084,3,0,32,6,1,2,0
43,WISEA J221304.26-204451.4,333.26779,-20.74725,G,21250.00,0.070884,PHOT,17.60,56.371,2,0,32,6,1,2,0
44,WISEA J221425.23-204641.7,333.60521,-20.77814,G,23626.00,0.078808,,17.05,56.997,4,0,32,6,3,2,2
45,WISEA J221548.00-185855.2,333.95008,-18.98194,G,21644.00,0.072197,PHOT,18.20,57.081,2,0,28,5,1,2,0
46,WISEA J221303.14-185407.7,333.26279,-18.90253,G,20194.00,0.06736,,16.80,57.44,4,0,32,6,3,2,0
47,[VCV96] 2213-208,334.08738,-20.62307,G,22185.00,0.074,,18.9,57.783,3,0,4,2,1,0,0
48,GSM 100,332.93438,-19.01643,G,15929.00,0.053133,,16.77,58.538,3,0,0,1,1,0,2
49,WISEA J221445.79-185207.0,333.69079,-18.86867,G,20636.00,0.068833,PHOT,17.74,58.879,2,0,32,6,1,2,0
