#DM    (pc/cm3)       #selection (relative)
# From ApJ 257:59 (41pp)   2021 December (Amiri et al)
107.22672220103232   0.4444444444444444
126.92154601196883   0.607843137254902
147.63588072616767   0.6405228758169935
172.7323721912987   0.7777777777777777
202.09499381910769   0.7581699346405228
235.07807256003457   0.8169934640522876
276.64268554403037   0.9411764705882353
323.66892850406015   0.9150326797385621
378.6891204911054   1.0065359477124183
443.06214575838777   1.0326797385620916
518.3778840792909   1.0588235294117647
602.9801705834587   1.0718954248366013
709.5942718239082   1.0588235294117647
830.2175681319735   1.1895424836601307
971.3455108132752   1.1045751633986929
1136.4636663857243   1.0849673202614378
1321.9411484660272   1.1241830065359477
1555.6761439304692   1.1241830065359477
1820.1241417791334   1.0522875816993464
2129.5254185213576   0.9803921568627452
2491.521541874511   0.8627450980392157
2915.05306282517   0.9281045751633987
3410.5803286345426   0.7320261437908497
3967.206880365452   0.738562091503268
4668.656474596424   0.7516339869281046
