sbid,scan,nbeam,fch1,foff,nchans,nsamples,tsamp,tstart,srcra,srcdec,goodfrac,nant,ndm,trigger_threshold,pointra,pointdec,footprint,pitch,obsfreq,maxwidth,fmin,fmax,maxdm,obsconfig,w_bandwidth,w_goodfrac,w_nant,tobs,w_tot,t_eff,fbar,bfactors,alt,az
55063,00/20231129045710,36,799.9907407407406,1.0,144.0,39424.0,0.0138240000233054,60277.206962471166,255.74291942631285,-46.24902965937981,0.9998661483246732,24.0,100.0,9.0,255.73476198102236,-46.26925328962947,closepack36,0.9,920.5,8,799.9907407407406,943.9907407407406,756.4612007925376,closepack36_0.9_920MHz,0.5946035575013605,0.9997992292057614,1.0,544.9973769187922,0.5944841784728638,323.9923178874339,871.9907407407406,0.9732016877861472,70.14611015134096,188.03450458384728
55064,00/20231129050941,36,799.9907407407406,1.0,144.0,39680.0,0.0138240000233054,60277.21560631114,302.008751475491,-63.87009704845884,0.9999197088179776,24.0,100.0,9.0,301.9848572686922,-63.91017706211133,closepack36,0.9,920.5,8,799.9907407407406,943.9907407407406,756.4612007925376,closepack36_0.9_920MHz,0.5946035575013605,0.9998795656445015,1.0,548.5363209247583,0.5945319468051358,326.1223667727233,871.9907407407406,0.9732016877861472,45.080751645242,156.7198776003333
55234,00/20231208040925,36,743.9907407407406,1.0,288.0,45312.0,0.0138240000233054,60286.17380407107,238.23529166666663,-56.26410071723426,0.9937343802672376,24.0,250.0,9.0,238.23529166666663,-56.30629444444444,square_6x6,1.05,864.5,8,743.9907407407406,1031.9907407407406,959.801401472086,square_6x6_1.05_864MHz,1.0,0.9906163075570575,1.0,626.3930890560143,0.9906163075570575,620.515208959928,887.9907407407406,1.0186933540333152,57.491579370958014,199.06031931345677
55236,00/20231208063810,36,743.9907407407406,1.0,288.0,46592.0,0.0138240000233054,60286.27705271103,274.90908750000006,-18.853019223347108,0.991440878775562,24.0,250.0,9.0,274.90908749999994,-18.862619444444444,square_6x6,1.05,864.5,8,743.9907407407406,1031.9907407407406,959.801401472086,square_6x6_1.05_864MHz,1.0,0.9871888294375232,1.0,644.0878090858453,0.9871888294375232,635.8362903064345,887.9907407407406,1.0186933540333152,70.64192862456771,289.8859767414167
55237,00/20231208065121,36,743.9907407407406,1.0,288.0,47616.0,0.0138240000233054,60286.28626103121,277.89473333333336,-12.579412674210232,0.9836991941167678,24.0,250.0,9.0,277.8947333333333,-12.585686111111112,square_6x6,1.05,864.5,8,743.9907407407406,1031.9907407407406,959.801401472086,square_6x6_1.05_864MHz,1.0,0.9756487071575787,1.0,658.2435851097099,0.9756487071575787,642.214502807058,887.9907407407406,1.0186933540333152,66.8028169281726,303.7156189603284
55257,00/20231208192323,36,743.9907407407406,1.0,288.0,43520.0,0.0138240000233054,60286.80847031091,125.58139166666668,-43.84557552091056,0.9924462682962673,24.0,250.0,9.0,125.58139166666666,-43.87260277777778,square_6x6,1.05,864.5,8,743.9907407407406,1031.9907407407406,959.801401472086,square_6x6_1.05_864MHz,1.0,0.9886908265324493,1.0,601.620481014251,0.9886908265324493,594.8166506328296,887.9907407407406,1.0186933540333152,72.74865738030323,181.07508795529944
55540,00/20231220080923,36,799.9907407407406,1.0,288.0,60416.0,0.0138240000233054,60298.34039479102,318.85172130971347,-60.284708817998165,0.927277009960234,23.0,250.0,9.0,318.8571416666666,-60.321713888888894,closepack36,0.9,920.5,8,799.9907407407406,1087.9907407407406,1160.2611200536217,closepack36_0.9_920MHz,1.0,0.892923470682849,0.9368252320701606,835.1907854080191,0.8365132376433533,698.6481479515571,943.9907407407406,0.9822652712976302,55.74056798008651,189.0451792554662
55541,00/20231220082528,36,799.9907407407406,1.0,288.0,58752.0,0.0138240000233054,60298.35161783108,323.17879188414906,-51.092299034880256,0.913358770786743,23.0,250.0,9.0,323.18181666666663,-51.11844333333333,closepack36,0.9,920.5,8,799.9907407407406,1087.9907407407406,1160.2611200536217,closepack36_0.9_920MHz,1.0,0.8728952000202631,0.9368252320701606,812.1876493692389,0.8177502483319122,664.1666519638071,943.9907407407406,0.9822652712976302,64.51870018805236,194.70665009274543
55542,00/20231220084132,36,799.9907407407406,1.0,288.0,60416.0,0.0138240000233054,60298.36267463098,326.24765513631974,-46.48074513036453,0.8924801348913216,23.0,250.0,9.0,326.24999999999994,-46.50296111111111,closepack36,0.9,920.5,8,799.9907407407406,1087.9907407407406,1160.2611200536217,closepack36_0.9_920MHz,1.0,0.8431363965291558,0.9368252320701606,835.1907854080191,0.7898714503452253,659.6933569851999,943.9907407407406,0.9822652712976302,68.46159621170641,200.98373583233905
55543,00/20231220085815,36,799.9907407407406,1.0,288.0,59648.0,0.0138240000233054,60298.37432759096,328.8443054409088,-41.86001233812827,0.9086315269096958,23.0,250.0,9.0,328.84615,-41.87891111111111,closepack36,0.9,920.5,8,799.9907407407406,1087.9907407407406,1160.2611200536217,closepack36_0.9_920MHz,1.0,0.8661272494620911,0.9368252320701606,824.5739533901206,0.8114098614796134,669.0674372999749,943.9907407407406,0.9822652712976302,71.72586112274989,211.23831376899005
55544,00/20231220091424,36,799.9907407407406,1.0,288.0,59648.0,0.0138240000233054,60298.385522951176,332.99907868654066,-27.958307918761268,0.9345360215901564,23.0,250.0,9.0,332.99999999999994,-27.9695,closepack36,0.9,920.5,8,799.9907407407406,1087.9907407407406,1160.2611200536217,closepack36_0.9_920MHz,1.0,0.9034290864108601,0.9368252320701606,824.5739533901206,0.8463551635357871,697.882423168846,943.9907407407406,0.9822652712976302,78.82589836856755,261.20525798841015
55545,00/20231220093249,36,799.9907407407406,1.0,288.0,53248.0,0.0138240000233054,60298.39930807128,337.14213476625014,-23.31187804094817,0.9165368121229356,23.0,250.0,9.0,337.1428541666666,-23.32096388888889,closepack36,0.9,920.5,8,799.9907407407406,1087.9907407407406,1160.2611200536217,closepack36_0.9_920MHz,1.0,0.8774550326576143,0.9368252320701606,736.100353240966,0.8220220146005998,605.090695319352,943.9907407407406,0.9822652712976302,77.56713902354845,283.4603113903225
