,Unnamed: 0,sbid,scan,nbeam,fch1,foff,nchans,nsamples,tsamp,tstart,srcra,srcdec,goodfrac,nant,ndm,trigger_threshold,pointra,pointdec,footprint,pitch,obsfreq,maxwidth,fmin,fmax,maxdm,obsconfig,w_bandwidth,w_goodfrac,w_nant,tobs,w_tot,t_eff,fbar,bfactors
0,0,66901,27/20241021060029,36,1151.9907407407406,1.0,288.0,1280.0,0.003456,60604.25148591109,292.60273880588704,-64.3234568343258,0.3063705632716049,23.0,400.0,9.0,292.57536640349986,-64.36267907387916,closepack36,0.9,1272.5,8,1151.9907407407406,1439.9907407407406,1227.9441719732351,closepack36_0.9_1272MHz,1.0,0.1695784075155725,0.9368252320701606,4.42368,0.1588653309748645,0.7027693873268887,1295.9907407407406,1.0511088643681108
1,1,66901,28/20241021060408,36,1151.9907407407406,1.0,288.0,1024.0,0.003456,60604.25395759109,291.217139226414,-63.659529259217464,0.3593629436728395,23.0,400.0,9.0,291.1910103767573,-63.69736480912646,closepack36,0.9,1272.5,8,1151.9907407407406,1439.9907407407406,1227.9441719732351,closepack36_0.9_1272MHz,1.0,0.2154269030308927,0.9368252320701606,3.538944,0.201817358426072,0.7142203296977971,1295.9907407407406,1.0511088643681108
2,2,66901,29/20241021060747,36,1151.9907407407406,1.0,288.0,256.0,0.003456,60604.256493271096,289.8948087738413,-62.98284732439512,0.4148341049382715,23.0,400.0,9.0,289.8699113598134,-63.01935355099464,closepack36,0.9,1272.5,8,1151.9907407407406,1439.9907407407406,1227.9441719732351,closepack36_0.9_1272MHz,1.0,0.2671847589745237,0.9368252320701606,0.884736,0.250305423831918,0.2214542194593558,1295.9907407407406,1.0511088643681108
3,3,66901,30/20241021061136,36,1151.9907407407406,1.0,288.0,1024.0,0.003456,60604.25920303109,295.02227114856726,-66.47952370577529,0.3563609182098765,23.0,400.0,9.0,294.9899593812519,-66.52334780416594,closepack36,0.9,1272.5,8,1151.9907407407406,1439.9907407407406,1227.9441719732351,closepack36_0.9_1272MHz,1.0,0.2127331172091494,0.9368252320701606,3.538944,0.1992937518984701,0.7052894275185794,1295.9907407407406,1.0511088643681108
4,4,66901,31/20241021061515,36,1151.9907407407406,1.0,288.0,256.0,0.003456,60604.2616695911,293.4600529264622,-65.83772693696702,0.3875385802469135,23.0,400.0,9.0,293.429152116105,-65.87993149011393,closepack36,0.9,1272.5,8,1151.9907407407406,1439.9907407407406,1227.9441719732351,closepack36_0.9_1272MHz,1.0,0.2412528296227123,0.9368252320701606,0.884736,0.2260117380988804,0.199960721118651,1295.9907407407406,1.0511088643681108
5,5,67127,00/20241025075236,36,743.9907407407406,1.0,288.0,768.0,0.003456,60608.32933679108,282.41379166666667,6.29193651303052,0.502244486239712,23.0,400.0,9.0,282.4137916666666,6.295036111111111,square_6x6,1.05,864.5,8,743.9907407407406,1031.9907407407406,383.9205599415957,square_6x6_1.05_864MHz,1.0,0.3559366974120457,0.9368252320701606,2.6542079999999997,0.3334504791553262,0.8850469293779,887.9907407407406,0.9750466541187711
6,6,67127,00/20241025075435,36,743.9907407407406,1.0,288.0,512.0,0.003456,60608.33072175109,282.41379166666667,6.29193651303052,0.6752387152777779,23.0,400.0,9.0,282.4137916666666,6.295036111111111,square_6x6,1.05,864.5,8,743.9907407407406,1031.9907407407406,383.9205599415957,square_6x6_1.05_864MHz,1.0,0.5548633024029506,0.9368252320701606,1.769472,0.5198099420408598,0.9197891377629244,887.9907407407406,0.9750466541187711
7,7,67127,00/20241025075635,36,743.9907407407406,1.0,288.0,1024.0,0.003456,60608.332033751096,282.41379166666667,6.29193651303052,0.7003038194444443,23.0,400.0,9.0,282.4137916666666,6.295036111111111,square_6x6,1.05,864.5,8,743.9907407407406,1031.9907407407406,383.9205599415957,square_6x6_1.05_864MHz,1.0,0.5860433503201898,0.9368252320701606,3.538944,0.5490201976668863,1.942951734412041,887.9907407407406,0.9750466541187711
8,8,67127,00/20241025075824,36,743.9907407407406,1.0,288.0,1024.0,0.003456,60608.33327151109,282.41379166666667,6.29193651303052,0.7012321566358025,23.0,400.0,9.0,282.4137916666666,6.295036111111111,square_6x6,1.05,864.5,8,743.9907407407406,1031.9907407407406,383.9205599415957,square_6x6_1.05_864MHz,1.0,0.5872090431577582,0.9368252320701606,3.538944,0.5501122481299637,1.9468164398460464,887.9907407407406,0.9750466541187711
9,9,67199,00/20241028022403,36,743.9907407407406,1.0,288.0,256.0,0.003456,60611.10121135109,214.13792916666665,3.608224830031759e-15,0.8159722222222221,23.0,400.0,9.0,214.13792916666665,0.0,square_6x6,1.05,864.5,8,743.9907407407406,1031.9907407407406,383.9205599415957,square_6x6_1.05_864MHz,1.0,0.7370773432204162,0.9368252320701606,0.884736,0.6905126531161238,0.6109214026673468,887.9907407407406,0.9750466541187711
