BW 400 #MHz
NFRB 154 #Number of FRBs
BEAM chime_bound_2_of_6 #prefix of beam file
TOBS 3.262931916550108 # Actually the solid angle of observation!
THRESH 5 #Jy ms to a 1 ms burst, very basic. 95% comleteness. Likely lower
SNRTHRESH 10 # signal-to-noise threshold: scales jy ms to snr.
TRES 0.983 #ms
FRES 0.0244 #Mhz
FBAR 600 # mean frequency (MHz)
KEY  TNS        DM     DMG     SNR     WIDTH  NREP
FRB  20180727A  642.1   21.2   10.4    1.390  1 
FRB  20180810A  414.9  104.7   13.1    0.322  1 
FRB  20180906A  383.5   43.5   10.5    1.350  1 
FRB  20180907A  877.2   92.0   15.3    0.870  1 
FRB  20180907B  658.2   38.1   15.4    0.210  1 
FRB  20180915A  371.0  171.9   13.4    0.800  1 
FRB  20180915B  177.1   22.4   12.5    1.694  1 
FRB  20180920A  555.7  160.8   13.5    2.220  1 
FRB  20180923C  174.0   29.1   15.0    0.320  1 
FRB  20180924A 1116.5   69.2   18.2    0.870  1 
FRB  20180925B  667.9   39.7   12.0    1.150  1 
FRB  20180928A  252.8  158.1   37.7    0.269  1 
FRB  20181013A  309.3   48.1   25.6    0.512  1 
FRB  20181013C 1005.8   38.6   12.6    0.760  1 
FRB  20181014B  888.0  102.6   20.9    0.730  1 
FRB  20181018C  411.2  146.2   29.4    0.477  1 
FRB  20181022D  514.3   20.1   35.6    0.594  1 
FRB  20181022E  286.0   21.8   15.5    0.400  1 
FRB  20181030D  289.4  123.5   21.5    0.362  1 
FRB  20181030E  159.7   49.9   24.3    0.000  1 
FRB  20181102A  414.5  155.7   11.9    0.690  1 
FRB  20181104C  580.8  105.3   62.2    1.460  1 
FRB  20181117C 1773.7   66.1   28.3    0.000  1 
FRB  20181118B  422.3   53.1   18.1    1.610  1 
FRB  20181119B  609.1  442.3   49.9    3.330  1 
FRB  20181124B  801.6  104.9   29.0    1.119  1 
FRB  20181125A  272.2   38.0   18.3    1.580  1 
FRB  20181127A  930.3   32.2   15.7    0.740  1 
FRB  20181128B  456.5   33.5   13.3    1.680  1 
FRB  20181202A  668.0   38.8   27.0    0.590  1 
FRB  20181203A  635.9   46.7   19.2    0.171  1 
FRB  20181203B  375.4   56.7   25.6    0.578  1 
FRB  20181214F 2105.8   40.3   11.0    2.300  1 
FRB  20181219C  647.9   36.2   18.6    1.260  1 
FRB  20181221A  316.2   24.4   18.6    0.754  1 
FRB  20181222B  619.2  148.2    9.5    0.596  1 
FRB  20181223B  565.7   25.5   12.4    1.570  1 
FRB  20181223C  112.5   19.9   19.5    0.508  1 
FRB  20181224E  581.9   36.6   32.4    1.020  1 
FRB  20181226B  287.0   27.7   52.4    1.004  1 
FRB  20181226D  385.4   65.0   24.2    0.571  1 
FRB  20181228A  748.7   34.2   12.6    1.088  1 
FRB  20181229B  389.0   29.3   11.1    3.360  1 
FRB  20181231A 1376.7   43.0   28.3    0.705  1 
FRB  20190101A  854.6   24.3   17.7    1.300  1 
FRB  20190101B 1323.9  234.0   14.0    0.320  1 
FRB  20190102A  699.2   43.6   22.4    0.824  1 
FRB  20190102B  367.2   41.1   22.9    0.851  1 
FRB  20190103B  541.1  187.1   15.7    5.830  1 
FRB  20190103C 1349.1  155.5   25.1    1.930  1 
FRB  20190104A  549.4  151.5   17.2    0.800  1 
FRB  20190107A  849.2   39.9    9.0   25.900  1 
FRB  20190111A  172.0   21.5   64.3    0.000  1 
FRB  20190111B 1336.9   65.1   24.1    0.160  1 
FRB  20190114A  887.4   38.1   11.5    1.340  1 
FRB  20190117D 1178.1   22.6   15.7    1.260  1 
FRB  20190118A  225.1   53.4   47.2    0.140  1 
FRB  20190118B  670.9   50.2    9.7    3.700  1 
FRB  20190122A 1231.2   64.6   11.7    5.500  1 
FRB  20190122B  469.6   54.5    9.3    1.920  1 
FRB  20190122C  689.9   24.4   43.2    5.000  1 
FRB  20190124B  441.4   21.6   14.5    1.500  1 
FRB  20190124C  303.6   21.4   47.5    1.773  1 
FRB  20190124E  617.8  392.0   13.6    5.740  1 
FRB  20190125A  564.7   60.4    9.4    3.210  1 
FRB  20190128A  696.1   43.6   11.8    1.850  1 
FRB  20190128B  248.2   57.2   14.1    0.603  1 
FRB  20190128D  430.2  232.8    9.4    1.270  1 
FRB  20190129A  484.8   52.1   12.7    1.130  1 
FRB  20190130A 1367.5   37.4    9.5    0.990  1 
FRB  20190130B  989.0   29.7   23.6    0.265  1 
FRB  20190131B 1805.7   35.6   12.2    0.920  1 
FRB  20190131C  507.8   33.0   13.6    0.444  1 
FRB  20190131D  642.1   67.5   18.7    0.348  1 
FRB  20190202A  307.4   40.8  101.0    0.710  1 
FRB  20190202B  464.9   70.1   20.2    0.510  1 
FRB  20190206A  188.3   41.4   13.4    0.804  1 
FRB  20190210B  624.2  116.5   43.9    0.397  1 
FRB  20190212C 1016.5   22.4   12.2    4.420  1 
FRB  20190214C  533.1   22.1   15.5    1.680  1 
FRB  20190217B  846.2   45.8   10.8    0.660  1 
FRB  20190218B  547.9   81.6   11.1    2.050  1 
FRB  20190221A  223.8   52.9   13.6    0.970  1 
FRB  20190221B  393.1  165.5   13.7    3.940  1 
FRB  20190222B  497.6   33.2   10.0    1.520  1 
FRB  20190222D  895.3  115.6    9.4    0.601  1 
FRB  20190224C  497.4   59.9   18.3    0.290  1 
FRB  20190226A  601.6   91.3   10.6    0.453  1 
FRB  20190226C  827.8   44.5   10.6    1.310  1 
FRB  20190228A  419.1   20.2   37.8    2.250  1 
FRB  20190301C  802.9   20.5    9.1    1.240  1 
FRB  20190303C 1089.7   23.1   15.6    1.760  1 
FRB  20190304B  470.0   22.6   20.8    0.330  1 
FRB  20190304C  565.0   22.1   10.8    0.948  1 
FRB  20190307A  355.3   58.0   12.3    2.060  1 
FRB  20190307B  294.0   54.9   11.8    0.000  1 
FRB  20190316A  515.9   38.9   12.7    0.834  1 
FRB  20190317C  598.3   53.6   11.4    1.400  1 
FRB  20190317E  800.9  134.3   14.9    1.670  1 
FRB  20190320C  368.8   47.1   11.4    1.040  1 
FRB  20190323A  857.5   72.8   14.7    0.540  1 
FRB  20190325B 1733.9   19.8    9.8    1.350  1 
FRB  20190327A  346.6   88.8   31.9    0.302  1 
FRB  20190330A  509.0   24.9    9.4    0.970  1 
FRB  20190403F  664.2   67.4   11.9    1.040  1 
FRB  20190403G  865.3  165.3   11.4    1.590  1 
FRB  20190404A 1353.9   40.3   24.3    1.360  1 
FRB  20190405A  424.9   47.3    9.6    1.110  1 
FRB  20190409A 1791.9   84.4   14.5    0.230  1 
FRB  20190409D 1300.1   54.7   16.1    1.550  1 
FRB  20190410B  642.2   78.4   20.4    0.423  1 
FRB  20190411B 1229.6   35.3   15.6    1.380  1 
FRB  20190411C  233.7   38.9   32.2    0.890  1 
FRB  20190412B  375.8  264.9   12.7    6.800  1 
FRB  20190415C  650.2  168.5    9.2    0.550  1 
FRB  20190416A 2287.3   39.2   14.6    0.720  1 
FRB  20190416B  575.4   20.6   19.7    0.000  1 
FRB  20190418A  184.5   70.1   20.4    0.706  1 
FRB  20190420C  630.0   35.8   10.7    1.950  1 
FRB  20190422A  452.3   79.5   18.3    2.000  1 
FRB  20190423B  584.9  482.6   15.9    8.500  1 
FRB  20190425A  128.2   48.8   57.6    0.380  1 
FRB  20190427A  455.8   85.0   25.2    0.339  1 
FRB  20190428A  969.4   27.0   33.0    0.374  1 
FRB  20190430C  400.6   99.1   22.5    0.893  1 
FRB  20190516B 1235.4   33.3   15.3    1.490  1 
FRB  20190517C  335.6  188.0   25.0    0.377  1 
FRB  20190518B  913.8   26.1   12.8    0.610  1 
FRB  20190520A  432.5   79.7   21.8    0.649  1 
FRB  20190527A  584.6   33.7   14.8    2.470  1 
FRB  20190601B  787.8   41.9   29.3    4.040  1 
FRB  20190601C  424.1  186.4   25.1    0.510  1 
FRB  20190604D 1021.2   24.8   15.2    1.630  1 
FRB  20190604E 1218.6   26.0   16.8    0.962  1 
FRB  20190605D 1656.5   48.8   10.9    1.069  1 
FRB  20190607A  562.5   44.0   97.7    1.736  1 
FRB  20190608A  722.2   38.4   12.1    0.386  1 
FRB  20190609C  480.3  112.7   11.0    2.070  1 
FRB  20190613A  715.0   53.5   18.2    3.870  1 
FRB  20190614B  581.9   54.9   57.6    0.648  1 
FRB  20190614C  589.2   57.5   12.0    2.590  1 
FRB  20190616A  212.6   25.5   14.6    0.654  1 
FRB  20190617C  640.2   45.4   14.1    3.880  1 
FRB  20190618A  228.9   77.2   33.4    0.548  1 
FRB  20190619C  488.3   69.3   10.2    0.399  1 
FRB  20190623A 1082.2   74.2    9.6    0.980  1 
FRB  20190625A  302.1   23.1   19.8    3.920  1 
FRB  20190625C  442.2   76.1   12.1    0.547  1 
FRB  20190629A  503.8   35.1   10.0    1.140  1 
FRB  20190630D  323.5   43.7   19.1    0.555  1 
FRB  20181119D  564.4  188.5   23.7    8.100  1 
FRB  20190116A  445.5   19.9   15.8    5.540  2 
FRB  20190117A  393.4   48.2   24.2    1.494  2 
FRB  20190213A  651.1   43.1    9.5    1.510  2 
