BW    336 #MHz
NFRB 171 #Number of FRBs
BEAM chime_bound_1 #prefix of beam file
TOBS 2.30 # Actually the solid angle of observation!
THRESH 5 #Jy ms to a 1 ms burst, very basic. Likely higher
SNRTHRESH 10 # signal-to-noise threshold: scales jy ms to snr.
TRES 0.983 #ms
FRES 0.0244
FBAR 600 # mean frequency (MHz)
KEY  Xname         DM     DMG     SNR     WIDTH  NREP
FRB  FRB20180729A  108.4   29.6   32.0    0.000  1 
FRB  FRB20180729B  318.6   95.4   12.4    0.314  1 
FRB  FRB20180810A  415.7  105.5   13.1    0.322  1 
FRB  FRB20180817A 1002.8   23.7   45.6    1.890  1 
FRB  FRB20180906B 3037.7   31.0   10.7    0.000  1 
FRB  FRB20180907E  381.7   28.8   12.2    4.150  1 
FRB  FRB20180909A  407.6   48.8   11.0    6.310  1 
FRB  FRB20180916C 2248.3   69.3   11.1    4.060  1 
FRB  FRB20180923D  328.4   29.7   48.1    0.000  1 
FRB  FRB20180924A 1114.5   67.2   18.2    0.870  1 
FRB  FRB20180928A  250.7  156.0   37.7    0.269  1 
FRB  FRB20181013A  308.9   47.7   25.6    0.512  1 
FRB  FRB20181013B  284.7   93.0   11.7    2.800  1 
FRB  FRB20181013C 1004.5   37.3   12.6    0.760  1 
FRB  FRB20181014C  752.1   59.8   10.1    0.790  1 
FRB  FRB20181018A 1132.2  123.7   10.8    8.500  1 
FRB  FRB20181018C  409.2  144.2   29.4    0.477  1 
FRB  FRB20181022D  512.7   18.5   35.6    0.594  1 
FRB  FRB20181101A 1468.7  140.9   14.1    6.030  1 
FRB  FRB20181115A  981.8   40.2   18.8    1.830  1 
FRB  FRB20181117A  960.8   39.6   12.2    2.340  1 
FRB  FRB20181119B  608.2  441.4   49.9    3.330  1 
FRB  FRB20181122A  661.6  194.9   12.2    0.680  1 
FRB  FRB20181123A  797.4  102.5   17.0    0.580  1 
FRB  FRB20181125A  278.2   44.0   18.3    1.280  1 
FRB  FRB20181125A  278.2   44.0   18.3    1.440  1 
FRB  FRB20181125A  278.2   44.0   18.3    1.580  1 
FRB  FRB20181128B  454.5   31.5   13.3    1.680  1 
FRB  FRB20181128D  147.2   33.4   47.0    1.071  1 
FRB  FRB20181128C  614.6   45.4   11.0    0.000  1 
FRB  FRB20181128C  614.6   45.4   11.0    0.000  1 
FRB  FRB20181129A  386.6   87.4   25.4    0.588  1 
FRB  FRB20181129C  503.0   27.3   18.3    1.180  1 
FRB  FRB20181130A  218.4   93.4   20.9    0.480  1 
FRB  FRB20181201A  698.7   28.3   17.8    4.800  1 
FRB  FRB20181201B  875.1   49.8   14.2    2.240  1 
FRB  FRB20181202C  558.0  127.3   10.4    0.490  1 
FRB  FRB20181213B  626.0   30.0   12.3    0.850  1 
FRB  FRB20181213C  380.1   29.9   11.7    1.250  1 
FRB  FRB20181214A  467.5  183.6   25.4    0.533  1 
FRB  FRB20181214B 1120.9   42.2   10.2    1.090  1 
FRB  FRB20181214D 1171.1   19.8   18.2    0.990  1 
FRB  FRB20181214F 2106.0   40.5   11.0    2.300  1 
FRB  FRB20181215A  412.5  128.4    9.2    1.340  1 
FRB  FRB20181215B  493.3   39.9   24.8    0.559  1 
FRB  FRB20181216A  541.9  145.9   11.0    0.220  1 
FRB  FRB20181217A 1175.9   68.5   12.5    1.015  1 
FRB  FRB20181218C  385.0   65.2    9.2    5.200  1 
FRB  FRB20181220A  208.7  125.1   27.6    0.435  1 
FRB  FRB20181222B  619.5  148.5    9.5    0.596  1 
FRB  FRB20181222D 1413.7   27.8   10.5    3.750  1 
FRB  FRB20181224A  308.9   83.7   65.0    0.387  1 
FRB  FRB20181224B  779.6  119.9   14.0    0.920  1 
