BW 400 #MHz
NFRB 54 #Number of FRBs
BEAM chime_bound_15_of_30 #prefix of beam file
TOBS 0.7893920880617936 # Actually the solid angle of observation!
THRESH 5 #Jy ms to a 1 ms burst, very basic. 95% comleteness. Likely lower
SNRTHRESH 10 # signal-to-noise threshold: scales jy ms to snr.
TRES 0.983 #ms
FRES 0.0244 #Mhz
FBAR 600 # mean frequency (MHz)
KEY  Xname         DM     DMG     SNR     WIDTH  NREP
FRB  FRB20180817A 1006.8   27.7   45.6    1.890  1 
FRB  FRB20180907E  383.4   30.5   12.2    4.150  1 
FRB  FRB20180916C 2252.9   73.9   11.1    4.060  1 
FRB  FRB20181014C  752.2   59.9   10.1    0.790  1 
FRB  FRB20181129A  386.0   86.8   25.4    0.588  1 
FRB  FRB20181129C  502.2   26.5   18.3    1.180  1 
FRB  FRB20181130A  220.1   95.1   20.9    0.480  1 
FRB  FRB20181201A  694.4   24.0   17.8    4.800  1 
FRB  FRB20181213C  380.7   30.5   11.7    1.250  1 
FRB  FRB20181214A  468.1  184.2   25.4    0.533  1 
FRB  FRB20181214B 1120.7   42.0   10.2    1.090  1 
FRB  FRB20181214D 1177.3   26.0   18.2    0.990  1 
FRB  FRB20181215A  412.6  128.5    9.2    1.340  1 
FRB  FRB20181215B  494.0   40.6   24.8    0.559  1 
FRB  FRB20181220A  209.4  125.8   27.6    0.435  1 
FRB  FRB20181224A  310.2   85.0   65.0    0.387  1 
FRB  FRB20181224B  781.0  121.3   14.0    0.920  1 
FRB  FRB20181226C  409.0   94.0   18.8    0.630  1 
FRB  FRB20181229A  955.6   43.0   23.6    0.376  1 
FRB  FRB20190103E  736.2   45.6    9.1    1.030  1 
FRB  FRB20190106A  340.1   88.9    9.6    0.940  1 
FRB  FRB20190106B  316.6  141.7   41.2    0.578  1 
FRB  FRB20190110A  472.8  188.6   29.1    0.203  1 
FRB  FRB20190110C  222.0   35.7   15.6    0.390  1 
FRB  FRB20190213C  357.1  176.0    9.9    0.646  1 
FRB  FRB20190215B  274.6  136.2   44.5    0.864  1 
FRB  FRB20190217A  798.1  110.7   15.4    0.860  1 
FRB  FRB20190219A  657.2   78.8   23.0    1.592  1 
FRB  FRB20190222C  524.0   29.5   16.2    0.676  1 
FRB  FRB20190227B  331.2   23.9    9.4    0.403  1 
FRB  FRB20190308C  500.5   23.1   22.3    0.550  1 
FRB  FRB20190317A 1157.3  138.0    9.3    0.710  1 
FRB  FRB20190317F 1118.1   33.3   53.6    1.700  1 
FRB  FRB20190320B  489.5   37.7   17.9    0.932  1 
FRB  FRB20190323C  381.1   23.6   11.5    0.310  1 
FRB  FRB20190323D  763.6  162.4    9.4    5.430  1 
FRB  FRB20190402A 1291.7   26.4   10.9    5.330  1 
FRB  FRB20190404B  489.4   45.0  134.0    0.331  1 
FRB  FRB20190414A  812.0   20.2   13.5    1.950  1 
FRB  FRB20190422B  977.4   34.1   11.1    3.240  1 
FRB  FRB20190517D 1180.1   93.3    9.4    2.300  1 
FRB  FRB20190519D  539.8   30.5   18.6    1.830  1 
FRB  FRB20190519E  693.8   27.5   17.0    0.414  1 
FRB  FRB20190529A  704.5  165.5   10.6    1.040  1 
FRB  FRB20190531C  478.2  132.4    9.7    1.450  1 
FRB  FRB20190613B  285.1  168.8   37.7    0.426  1 
FRB  FRB20190619D  378.5   64.0   13.4    1.390  1 
FRB  FRB20190623B 1556.8  143.8   25.3    0.000  1 
FRB  FRB20190627B  430.3   42.0   56.2    0.444  1 
FRB  FRB20190627D 2002.2  132.0   12.0    0.000  1 
FRB  FRB20190628C 1748.4   98.8   10.0    4.200  1 
FRB  FRB20190630B  652.1  150.5   48.3    1.870  1 
FRB  FRB20190208A  579.8   71.4   12.2    6.790  2 
FRB  FRB20190303A  221.7   29.9   11.2    1.670  2 
