BW    336 #MHz
NFRB 59 #Number of FRBs
BEAM chime_bound_2 #prefix of beam file
TOBS 0.463 # Actually the solid angle of observation!
THRESH 5 #Jy ms to a 1 ms burst, very basic. Likely higher
SNRTHRESH 10 # signal-to-noise threshold: scales jy ms to snr.
TRES 0.983 #ms
FRES 0.0244
FBAR 600 # mean frequency (MHz)
KEY  Xname         DM     DMG     SNR     WIDTH  NREP
FRB  FRB20180725A  716.6   72.4   19.2    0.296  1 
FRB  FRB20180918A 1454.1   80.1   14.0    0.550  1 
FRB  FRB20180920B  459.4   29.2   10.5    2.330  1 
FRB  FRB20180922A  562.9  148.5   24.5    0.806  1 
FRB  FRB20181012B  713.3   31.6   11.8    0.560  1 
FRB  FRB20181013E  344.5   80.0   10.7    0.860  1 
FRB  FRB20181014A 1311.8  183.6   18.2    2.050  1 
FRB  FRB20181019B  723.0  157.6   11.3    1.300  1 
FRB  FRB20181019C  503.0   40.6   11.5    0.723  1 
FRB  FRB20181025A  590.4   59.5   18.8    0.355  1 
FRB  FRB20181116B  409.2   35.7   16.0    0.642  1 
FRB  FRB20181119E 1169.5  220.0   11.2    1.480  1 
FRB  FRB20181124A 1108.0   33.9   10.4    1.470  1 
FRB  FRB20181202B  826.5   34.3   16.1    0.610  1 
FRB  FRB20181208A  561.3   43.7   22.3    0.930  1 
FRB  FRB20181209A  328.4   65.4   24.2    0.597  1 
FRB  FRB20181214C  632.4   32.9   29.1    0.631  1 
FRB  FRB20181218B  752.1  168.3   10.9    1.690  1 
FRB  FRB20181222C 1104.8   46.3   11.0    1.520  1 
FRB  FRB20181224C  608.2   67.2   13.3    2.370  1 
FRB  FRB20181228B  566.1   37.4   15.5    0.000  1 
FRB  FRB20181231C  554.8   34.2   18.2    0.000  1 
FRB  FRB20190105A  385.0   47.8   10.9    3.900  1 
FRB  FRB20190112A  420.5   36.7   27.8    1.640  1 
FRB  FRB20190116D 1161.4   75.9   11.5    1.040  1 
FRB  FRB20190203B  580.7   44.3    9.0    0.300  1 
FRB  FRB20190204A  448.0   34.5   10.1    1.810  1 
FRB  FRB20190211A 1188.9  104.5   20.2    0.360  1 
FRB  FRB20190211B  260.4   84.2   12.7    0.000  1 
FRB  FRB20190212D 1145.2   40.8    9.7    1.050  1 
FRB  FRB20190214A  498.2   70.3   11.4   14.500  1 
FRB  FRB20190221D  473.9  189.7   10.0    0.774  1 
FRB  FRB20190223B  535.4  123.6    9.0    0.654  1 
FRB  FRB20190224E  435.1   32.3   46.5    0.549  1 
FRB  FRB20190226B  630.8   49.9    9.2    4.000  1 
FRB  FRB20190302A 1009.3  195.8   20.4    7.100  1 
FRB  FRB20190303B  192.5   46.1   52.3    0.715  1 
FRB  FRB20190320A  613.0  142.8   15.7    1.180  1 
FRB  FRB20190325C  799.0  189.6   11.7    3.200  1 
FRB  FRB20190409B  297.6   59.8   12.3    2.340  1 
FRB  FRB20190412A  363.9   36.7   42.0    1.243  1 
FRB  FRB20190417B 1151.7   25.5   14.9    1.900  1 
FRB  FRB20190419A  438.3   60.6   10.6    1.850  1 
FRB  FRB20190421B  393.1   97.3   78.9    1.123  1 
FRB  FRB20190424A  758.6   35.4   18.1    0.666  1 
FRB  FRB20190430B 2617.1   34.1   10.0    0.000  1 
FRB  FRB20190502B  917.1   32.3   59.7    1.201  1 
FRB  FRB20190530A  554.8  138.6   11.5    1.020  1 
FRB  FRB20190601A 2228.9   34.0   15.1    1.720  1 
FRB  FRB20190612C 1638.5  104.7   38.7    0.925  1 
FRB  FRB20190619A  897.7   35.4   14.3    0.939  1 
FRB  FRB20190624A  973.7   37.7   15.3    1.520  1 
FRB  FRB20190701D  934.9   57.5   34.4    1.400  1 
FRB  FRB20190701E  888.0   39.9   15.2    0.420  1 
FRB  FRB20180916B  347.8  197.4   18.7    0.765  33 
FRB  FRB20181017A 1268.1   29.1   12.9    2.770  2 
FRB  FRB20181119A  368.8   38.5   11.1    6.840  3 
FRB  FRB20181128A  446.4  108.4   23.4    1.020  4 
FRB  FRB20190222A  462.6   89.6   31.2    1.839  3
