BW    336 #MHz
NFRB 41 #Number of FRBs
BEAM chime_bound_4 #prefix of beam file
TOBS 0.0715 # Actually the solid angle of observation!
THRESH 5 #Jy ms to a 1 ms burst, very basic. Likely higher
SNRTHRESH 10 # signal-to-noise threshold: scales jy ms to snr.
TRES 0.983 #ms
FRES 0.0244
FBAR 600 # mean frequency (MHz)
KEY  Xname         DM     DMG     SNR     WIDTH  NREP
FRB  FRB20180810B  169.8   46.5   38.6    0.311  1 
FRB  FRB20180812A  795.8   73.7   12.5    0.000  1 
FRB  FRB20180904A  360.7   55.0   40.8    0.527  1 
FRB  FRB20180911A  221.6   56.9   17.5    0.831  1 
FRB  FRB20180916A  296.0   78.4   21.4    0.000  1 
FRB  FRB20181015A  567.7   45.4   11.1    0.738  1 
FRB  FRB20181022C  528.9   50.3   15.0    0.800  1 
FRB  FRB20181119C  283.1   42.8   27.0    0.449  1 
FRB  FRB20181126A  493.3   48.7   51.6    0.407  1 
FRB  FRB20181129B  406.0   62.2   11.8    0.364  1 
FRB  FRB20181220B  257.2   53.0   13.4    0.558  1 
FRB  FRB20181221B 1392.7   59.6   26.7    1.037  1 
FRB  FRB20181230A  763.5   62.3   14.1    1.640  1 
FRB  FRB20190107B  166.6   70.5   20.6    0.451  1 
FRB  FRB20190115B  748.9   64.4   18.2    1.550  1 
FRB  FRB20190124D  341.3   46.8    9.1    0.500  1 
FRB  FRB20190127B  666.4   51.8   11.5    2.500  1 
FRB  FRB20190131E  279.8   43.3   20.9    0.000  1 
FRB  FRB20190201A  241.0   61.4   11.0    0.608  1 
FRB  FRB20190205A  693.9   66.2    9.5    0.602  1 
FRB  FRB20190208B  713.3   59.7   96.4    0.000  1 
FRB  FRB20190208C  237.8   49.1   16.3    0.411  1 
FRB  FRB20190224A  821.7   68.8   11.7    2.040  1 
FRB  FRB20190224B  839.5   51.5   10.0    0.639  1 
FRB  FRB20190228B 1125.8   81.9   30.5    0.970  1 
FRB  FRB20190308B  179.5   68.0   10.3    0.186  1 
FRB  FRB20190308B  179.5   68.0   10.3    0.520  1 
FRB  FRB20190325A  357.5   49.2   13.3    1.560  1 
FRB  FRB20190328C  470.7   62.5   18.2    0.770  1 
FRB  FRB20190403D  613.0   62.5   10.9    1.310  1 
FRB  FRB20190411A  461.0   61.2   11.0    0.417  1 
FRB  FRB20190423D  498.2   67.9   23.9    1.900  1 
FRB  FRB20190502C  396.3   46.9   23.8    0.527  1 
FRB  FRB20190531A  325.1   44.4   10.9    0.628  1 
FRB  FRB20190617A  195.7   46.6   27.1    1.489  1 
FRB  FRB20190619B  270.1   45.4   19.7    0.516  1 
FRB  FRB20190628B  406.0   44.5   12.4    0.270  1 
FRB  FRB20190630C 1659.6   67.3   10.8    1.210  1 
FRB  FRB20190701B  748.9   61.3   15.0    0.630  1 
FRB  FRB20190701C  972.1   56.3   11.5    1.440  1 
FRB  FRB20190212A  300.9   52.0    9.9    2.760  3 
