BW    336 #MHz
NFRB 160 #Number of FRBs
BEAM chime_bound_0 #prefix of beam file
TOBS 4.34 # Actually the solid angle of observation!
THRESH 5 #Jy ms to a 1 ms burst, very basic. Likely higher
SNRTHRESH 10 # signal-to-noise threshold: scales jy ms to snr.
TRES 0.983 #ms
FRES 0.0244
FBAR 600 # mean frequency (MHz)
FRB  FRB20181219C  648.6   36.9   18.6    1.260  1 
FRB  FRB20181221A  313.8   22.0   18.6    0.754  1 
FRB  FRB20181223B  564.5   24.3   12.4    1.570  1 
FRB  FRB20181223C  111.6   19.0   19.5    0.508  1 
FRB  FRB20181224E  580.7   35.4   32.4    1.056  1 
FRB  FRB20181224E  580.7   35.4   32.4    1.020  1 
FRB  FRB20181226D  386.6   66.2   24.2    0.571  1 
FRB  FRB20181226B  287.9   28.6   52.4    0.590  1 
FRB  FRB20181226B  287.9   28.6   52.4    0.871  1 
FRB  FRB20181226B  287.9   28.6   52.4    1.004  1 
FRB  FRB20181228A  748.9   34.4   12.6    1.088  1 
FRB  FRB20181229B  375.3   15.6   11.1    3.360  1 
FRB  FRB20181231A 1376.5   42.8   28.3    0.705  1 
FRB  FRB20190101A  867.0   36.7   17.7    1.300  1 
FRB  FRB20190101B 1321.5  231.6   14.0    0.320  1 
FRB  FRB20190102A  697.1   41.5   22.4    0.824  1 
FRB  FRB20190102B  367.2   41.1   22.9    0.851  1 
FRB  FRB20190103B  530.5  176.5   15.7    5.830  1 
FRB  FRB20190103C 1349.0  155.4   25.1    1.930  1 
FRB  FRB20190104B  527.3   47.0    9.8    1.880  1 
FRB  FRB20190107A  841.1   31.8    9.0   25.900  1 
FRB  FRB20190109A  325.1  148.2    9.4    1.650  1 
FRB  FRB20190109A  325.1  148.2    9.4    3.400  1 
FRB  FRB20190109B  176.3   69.4   11.6    0.340  1 
FRB  FRB20190111A  173.1   22.6   64.3    0.360  1 
FRB  FRB20190111A  173.1   22.6   64.3    0.438  1 
FRB  FRB20190111A  173.1   22.6   64.3    0.000  1 
FRB  FRB20190111B 1334.4   62.6   24.1    0.160  1 
FRB  FRB20190113A  430.3  180.3   10.9    1.820  1 
FRB  FRB20190114A  889.6   40.3   11.5    1.340  1 
FRB  FRB20190118B  666.4   45.7    9.7    3.700  1 
FRB  FRB20190118A  224.8   53.1   47.2    0.140  1 
FRB  FRB20190122C  690.7   25.2   43.2    1.760  1 
FRB  FRB20190122C  690.7   25.2   43.2    1.800  1 
FRB  FRB20190122C  690.7   25.2   43.2    2.940  1 
FRB  FRB20190122C  690.7   25.2   43.2    0.000  1 
FRB  FRB20190122C  690.7   25.2   43.2    1.410  1 
FRB  FRB20190122C  690.7   25.2   43.2    5.000  1 
FRB  FRB20190124B  443.2   23.4   14.5    1.500  1 
FRB  FRB20190124C  302.5   20.3   47.5    0.291  1 
FRB  FRB20190124C  302.5   20.3   47.5    1.773  1 
FRB  FRB20190124E  614.6  388.8   13.6    5.740  1 
FRB  FRB20190124F  253.9   36.7   35.9    0.733  1 
FRB  FRB20190125A  562.9   58.6    9.4    3.210  1 
FRB  FRB20190128A  695.5   43.0   11.8    1.850  1 
FRB  FRB20190128B  247.5   56.5   14.1    0.603  1 
FRB  FRB20190128D  428.6  231.2    9.4    1.270  1 
FRB  FRB20190129A  478.8   46.1   12.7    1.130  1 
FRB  FRB20190130A 1365.2   35.1    9.5    0.990  1 
FRB  FRB20190130B  988.3   29.0   23.6    0.265  1 
FRB  FRB20190131D  642.1   67.5   18.7    0.000  1 
FRB  FRB20190131D  642.1   67.5   18.7    0.348  1 
FRB  FRB20190131C  506.3   31.5   13.6    0.444  1 
FRB  FRB20190131B 1801.9   31.8   12.2    0.920  1 
FRB  FRB20190202A  305.7   39.1  101.0    0.710  1 
FRB  FRB20190203C  370.4   29.6   11.1    2.050  1 
FRB  FRB20190206A  187.6   40.7   13.4    0.804  1 
FRB  FRB20190210B  622.7  115.0   43.9    0.397  1 
FRB  FRB20190212C 1012.6   18.5   12.2    4.420  1 
FRB  FRB20190214C  533.8   22.8   15.5    1.680  1 
FRB  FRB20190217B  847.6   47.2   10.8    0.660  1 
FRB  FRB20190218B  549.9   83.6   11.1    2.050  1 
FRB  FRB20190221A  224.8   53.9   13.6    0.970  1 
FRB  FRB20190221B  394.7  167.1   13.7    3.940  1 
FRB  FRB20190222B  498.2   33.8   10.0    1.520  1 
FRB  FRB20190222D  894.5  114.8    9.4    0.601  1 
FRB  FRB20190224C  495.0   57.5   18.3    0.290  1 
FRB  FRB20190226C  826.5   43.2   10.6    1.310  1 
FRB  FRB20190228A  439.9   41.0   37.8    2.250  1 
FRB  FRB20190303C 1088.6   22.0   15.6    1.760  1 
FRB  FRB20190304B  470.7   23.3   20.8    0.330  1 
FRB  FRB20190304C  564.5   21.6   10.8    0.948  1 
FRB  FRB20190307A  352.6   55.3   12.3    2.060  1 
FRB  FRB20190316A  516.0   39.0   12.7    0.834  1 
FRB  FRB20190317E  800.7  134.1   14.9    1.670  1 
FRB  FRB20190319A 2041.3  109.0   22.3    1.470  1 
FRB  FRB20190320C  367.2   45.5   11.4    1.040  1 
FRB  FRB20190403G  865.4  165.4   11.4    1.590  1 
FRB  FRB20190403B  291.1   52.7   18.9    2.350  1 
FRB  FRB20190405A  423.8   46.2    9.6    1.110  1 
FRB  FRB20190409A 1789.0   81.5   14.5    0.230  1 
FRB  FRB20190409D 1298.9   53.5   16.1    1.550  1 
FRB  FRB20190410A  278.2  122.7    9.9    1.010  1 
FRB  FRB20190410B  642.1   78.3   20.4    0.423  1 
FRB  FRB20190411B 1227.7   33.4   15.6    1.380  1 
FRB  FRB20190411C  234.5   39.7   32.2    1.023  1 
FRB  FRB20190411C  234.5   39.7   32.2    0.890  1 
FRB  FRB20190412B  375.3  264.4   12.7    6.800  1 
FRB  FRB20190418A  182.8   68.4   20.4    0.706  1 
FRB  FRB20190423B  585.5  483.2   15.9    2.490  1 
FRB  FRB20190423B  585.5  483.2   15.9    8.500  1 
FRB  FRB20190425A  127.8   48.4   57.6    0.380  1 
FRB  FRB20190427A  454.5   83.7   25.2    0.339  1 
FRB  FRB20190428A  968.9   26.5   33.0    0.374  1 
FRB  FRB20190429B  297.6   44.1   10.2    6.380  1 
FRB  FRB20190430C  399.5   98.0   22.5    0.893  1 
FRB  FRB20190515B  820.1   30.4   23.4    0.380  1 
FRB  FRB20190515D  425.4   47.1   13.0    0.420  1 
FRB  FRB20190516B 1235.8   33.7   15.3    1.490  1 
FRB  FRB20190517C  334.8  187.2   25.0    0.377  1 
FRB  FRB20190518B  913.9   26.2   12.8    0.610  1 
FRB  FRB20190518C  444.8   42.4   34.5    0.635  1 
FRB  FRB20190520A  431.9   79.1   21.8    0.649  1 
FRB  FRB20190527A  582.3   31.4   14.8    2.670  1 
FRB  FRB20190527A  582.3   31.4   14.8    2.470  1 
FRB  FRB20190531E  328.4   32.2    9.5    0.465  1 
FRB  FRB20190601B  789.3   43.4   29.3    4.040  1 
FRB  FRB20190601C  423.8  186.1   25.1    0.684  1 
FRB  FRB20190601C  423.8  186.1   25.1    0.510  1 
FRB  FRB20190604D 1020.6   24.2   15.2    1.630  1 
FRB  FRB20190605C  186.0   36.2   25.4    0.495  1 
FRB  FRB20190605D 1653.1   45.4   10.9    1.069  1 
FRB  FRB20190607A  559.7   41.2   97.7    1.736  1 
FRB  FRB20190608A  719.8   36.0   12.1    0.386  1 
FRB  FRB20190609C  480.4  112.8   11.0    2.070  1 
FRB  FRB20190612B  186.0   26.1   10.8    0.186  1 
FRB  FRB20190613A  714.9   53.4   18.2    3.870  1 
FRB  FRB20190614B  580.7   53.7   57.6    0.648  1 
FRB  FRB20190617B  275.0   45.3   12.7    7.580  1 
FRB  FRB20190618A  228.1   76.4   33.4    0.548  1 
FRB  FRB20190621C  571.0   26.4   14.4    0.443  1 
FRB  FRB20190623A 1082.1   74.1    9.6    0.980  1 
FRB  FRB20190625C  441.6   75.5   12.1    0.547  1 
FRB  FRB20190625D  716.6  100.1   36.3    0.687  1 
FRB  FRB20190627A  402.8   28.9    9.4    0.663  1 
FRB  FRB20190629A  503.0   34.3   10.0    1.140  1 
FRB  FRB20190630D  321.9   42.1   19.1    0.555  1 
FRB  FRB20190116A  446.4   20.8   15.8    5.540  2 
FRB  FRB20190117A  393.1   47.9   24.2    1.494  2 
FRB  FRB20190213A  650.2   42.2    9.5    1.510  2
