BW    336 #MHz
NFRB 160 #Number of FRBs
BEAM chime_bound_0 #prefix of beam file
TOBS 4.34 # Actually the solid angle of observation!
THRESH 5 #Jy ms to a 1 ms burst, very basic. Likely higher
SNRTHRESH 10 # signal-to-noise threshold: scales jy ms to snr.
TRES 0.983 #ms
FRES 0.0244
FBAR 600 # mean frequency (MHz)
KEY  Xname         DM     DMG     SNR     WIDTH  NREP
FRB  FRB20180727A  642.1   21.2   10.4    1.390  1 
FRB  FRB20180906A  383.3   43.3   10.5    1.350  1 
FRB  FRB20180907A  875.1   89.9   15.3    0.870  1 
FRB  FRB20180907B  658.3   38.2   15.4    0.210  1 
FRB  FRB20180915A  370.4  171.3   13.4    0.800  1 
FRB  FRB20180915B  176.3   21.6   12.5    1.694  1 
FRB  FRB20180919B  558.0   30.6   16.1    0.408  1 
FRB  FRB20180920A  562.9  168.0   13.5    2.220  1 
FRB  FRB20180921A  393.1   33.9   10.3    1.140  1 
FRB  FRB20180923C  173.1   28.2   15.0    0.320  1 
FRB  FRB20180925B  668.0   39.8   12.0    1.150  1 
FRB  FRB20181014B  888.0  102.6   20.9    0.730  1 
FRB  FRB20181014D  376.9   29.8   13.6    1.720  1 
FRB  FRB20181022E  286.3   22.1   15.5    0.400  1 
FRB  FRB20181027A  726.3   62.6   15.9    0.720  1 
FRB  FRB20181030C  668.0   72.3   11.7    0.000  1 
FRB  FRB20181030D  289.5  123.6   21.5    0.362  1 
FRB  FRB20181030E  158.5   48.7   24.3    0.000  1 
FRB  FRB20181102A  415.7  156.9   11.9    0.690  1 
FRB  FRB20181104C  580.7  105.2   62.2    0.461  1 
FRB  FRB20181104C  580.7  105.2   62.2    1.460  1 
FRB  FRB20181116A  354.2   35.9   25.3    0.439  1 
FRB  FRB20181117C 1776.0   68.4   28.3    0.000  1 
FRB  FRB20181118A  558.0   32.1   10.8    1.270  1 
FRB  FRB20181118B  422.2   53.0   18.1    1.610  1 
FRB  FRB20181124B  800.7  104.0   29.0    1.119  1 
FRB  FRB20181127A  930.1   32.0   15.7    0.740  1 
FRB  FRB20181202A  669.6   40.4   27.0    0.590  1 
FRB  FRB20181203A  635.7   46.5   19.2    0.171  1 
FRB  FRB20181203B  373.6   54.9   25.6    0.578  1 
