BW 400 #MHz
NFRB 234 #Number of FRBs
BEAM chime_bound_3_of_6 #prefix of beam file
TOBS 2.2319607791102194 # Actually the solid angle of observation!
THRESH 5 #Jy ms to a 1 ms burst, very basic. 95% comleteness. Likely lower
SNRTHRESH 10 # signal-to-noise threshold: scales jy ms to snr.
TRES 0.983 #ms
FRES 0.0244 #Mhz
FBAR 600 # mean frequency (MHz)
KEY  TNS         DM     DMG     SNR     WIDTH  NREP
FRB  20180725A  715.8   71.6   19.2    0.296  1 
FRB  20180729A  109.6   30.8   32.0    0.000  1 
FRB  20180729B  317.2   94.0   12.4    0.314  1 
FRB  20180801A  655.7   90.1   20.4    0.580  1 
FRB  20180806A  739.9   40.6   13.9    1.410  1 
FRB  20180814B  238.3   41.1   18.7    0.830  1 
FRB  20180817A 1006.8   27.7   45.6    1.890  1 
FRB  20180906B 3038.1   31.4   10.7    0.000  1 
FRB  20180907C  638.2   91.4   11.3    0.000  1 
FRB  20180907E  383.4   30.5   12.2    4.150  1 
FRB  20180909A  408.6   49.8   11.0    6.310  1 
FRB  20180916C 2252.9   73.9   11.1    4.060  1 
FRB  20180917B  857.0   43.1   16.5    2.470  1 
FRB  20180918A 1454.0   80.0   14.0    0.550  1 
FRB  20180920B  463.4   33.2   10.5    2.330  1 
FRB  20180922A  555.7  141.3   24.5    0.806  1 
FRB  20180923A  219.4  100.0   16.1    0.150  1 
FRB  20180923D  329.4   30.7   48.1    0.000  1 
FRB  20180925A  237.7   70.6   11.3    4.520  1 
FRB  20181012B  715.2   33.5   11.8    0.560  1 
FRB  20181013B  277.5   85.8   11.7    2.800  1 
FRB  20181013E  345.3   80.8   10.7    0.860  1 
FRB  20181014A 1314.9  186.7   18.2    2.050  1 
FRB  20181014C  752.2   59.9   10.1    0.790  1 
FRB  20181017B  307.4   43.7   12.6    2.310  1 
FRB  20181018A 1129.4  120.9   10.8    8.500  1 
FRB  20181018B  293.9  113.2   35.6    0.478  1 
FRB  20181019B  725.2  159.8   11.3    1.300  1 
FRB  20181019C  501.6   39.2   11.5    0.723  1 
FRB  20181025A  592.6   61.7   18.8    0.355  1 
FRB  20181101A 1472.7  144.9   14.1    6.030  1 
FRB  20181115A  981.6   40.0   18.8    1.830  1 
FRB  20181116B  409.9   36.4   16.0    0.642  1 
FRB  20181117A  959.3   38.1   12.2    2.340  1 
FRB  20181119E 1169.8  220.3   11.2    1.480  1 
FRB  20181122A  662.8  196.1   12.2    0.680  1 
FRB  20181123A  798.7  103.8   17.0    0.580  1 
FRB  20181124A 1108.5   34.4   10.4    1.470  1 
FRB  20181128C  618.4   49.1   11.0    0.000  1 
FRB  20181128D  146.5   32.7   47.0    1.071  1 
FRB  20181129A  386.0   86.8   25.4    0.588  1 
FRB  20181129C  502.2   26.5   18.3    1.180  1 
FRB  20181130A  220.1   95.1   20.9    0.480  1 
FRB  20181201A  694.4   24.0   17.8    4.800  1 
FRB  20181201B  876.6   51.3   14.2    2.240  1 
FRB  20181202B  825.9   33.7   16.1    0.610  1 
FRB  20181202C  557.2  126.5   10.4    0.490  1 
FRB  20181203C 2444.6   37.5   10.3    3.650  1 
FRB  20181208A  562.8   45.2   22.3    0.930  1 
FRB  20181209A  328.7   65.7   24.2    0.597  1 
FRB  20181213A  678.7   48.6   16.1    1.359  1 
FRB  20181213B  626.6   30.6   12.3    0.850  1 
FRB  20181213C  380.7   30.5   11.7    1.250  1 
FRB  20181214A  468.1  184.2   25.4    0.533  1 
FRB  20181214B 1120.7   42.0   10.2    1.090  1 
FRB  20181214C  632.8   33.3   29.1    0.631  1 
FRB  20181214D 1177.3   26.0   18.2    0.990  1 
FRB  20181215A  412.6  128.5    9.2    1.340  1 
FRB  20181215B  494.0   40.6   24.8    0.559  1 
FRB  20181216A  542.7  146.7   11.0    0.220  1 
FRB  20181217A 1177.2   69.8   12.5    1.015  1 
FRB  20181218A 1874.4  147.2   18.6    1.390  1 
