BW 400 #MHz
NFRB 234 #Number of FRBs
BEAM chime_bound_3_of_6 #prefix of beam file
TOBS 2.2319607791102194 # Actually the solid angle of observation!
THRESH 5 #Jy ms to a 1 ms burst, very basic. 95% comleteness. Likely lower
SNRTHRESH 10 # signal-to-noise threshold: scales jy ms to snr.
TRES 0.983 #ms
FRES 0.0244 #Mhz
FBAR 600 # mean frequency (MHz)
FRB  20181218B  753.4  169.6   10.9    1.690  1 
FRB  20181218C  384.2   64.4    9.2    5.200  1 
FRB  20181219B 1952.2   37.3   23.1    0.574  1 
FRB  20181220A  209.4  125.8   27.6    0.435  1 
FRB  20181222C 1104.9   46.4   11.0    1.520  1 
FRB  20181222D 1417.1   31.2   10.5    3.750  1 
FRB  20181224A  310.2   85.0   65.0    0.387  1 
FRB  20181224B  781.0  121.3   14.0    0.920  1 
FRB  20181224C  596.3   55.3   13.3    2.370  1 
FRB  20181224D  690.2   31.4   11.2    1.600  1 
FRB  20181226C  409.0   94.0   18.8    0.630  1 
FRB  20181226E  308.8   68.9   16.5    1.169  1 
FRB  20181227A  791.2   89.0    9.2    0.748  1 
FRB  20181228B  568.7   40.0   15.5    0.000  1 
FRB  20181228C  510.7   45.6   11.1    0.880  1 
FRB  20181229A  955.6   43.0   23.6    0.376  1 
FRB  20181230C 1037.2   36.9   14.3    0.760  1 
FRB  20181230D  224.0   40.6   13.3    0.419  1 
FRB  20181231B  197.2   46.9   33.2    0.337  1 
FRB  20181231C  556.1   35.5   18.2    0.000  1 
FRB  20190103D 1913.6   33.3   10.5    0.000  1 
FRB  20190103E  736.2   45.6    9.1    1.030  1 
FRB  20190105A  383.6   46.4   10.9    3.900  1 
FRB  20190106A  340.1   88.9    9.6    0.940  1 
FRB  20190106B  316.6  141.7   41.2    0.578  1 
FRB  20190110A  472.8  188.6   29.1    0.203  1 
FRB  20190110B  486.1   45.5   12.3    0.750  1 
FRB  20190110C  222.0   35.7   15.6    0.390  1 
FRB  20190112A  425.8   42.0   27.8    1.640  1 
FRB  20190115A 1021.7  186.4   10.4    0.890  1 
FRB  20190116C  629.3   41.9   74.4    0.708  1 
FRB  20190116D 1164.0   78.5   11.5    1.040  1 
FRB  20190116E 1491.0  128.4   11.9    0.607  1 
FRB  20190116F  316.9   46.8   13.6    1.230  1 
FRB  20190117C  865.9   53.3   10.2    0.770  1 
FRB  20190121A  425.4   87.4   31.3    1.080  1 
FRB  20190124A 1275.9  176.6   14.4    2.270  1 
FRB  20190125B  178.2   33.2   13.2    2.470  1 
FRB  20190201B  749.2   54.2   19.8    0.800  1 
FRB  20190203A  420.6   45.9   32.0    0.550  1 
FRB  20190203B  582.2   45.8    9.0    0.300  1 
FRB  20190204A  449.6   36.1   10.1    1.810  1 
FRB  20190204B 1464.9   45.5   28.0    1.022  1 
FRB  20190206C 1043.0   38.3    9.3    2.010  1 
FRB  20190210D  359.1  141.2   20.6    0.580  1 
FRB  20190211A 1188.3  103.9   20.2    0.360  1 
FRB  20190211B  260.7   84.5   12.7    0.000  1 
FRB  20190212B  600.2   41.2   29.0    0.226  1 
FRB  20190212D 1139.8   35.4    9.7    1.050  1 
FRB  20190213C  357.1  176.0    9.9    0.646  1 
FRB  20190213D 1346.8  234.5   18.7    0.626  1 
FRB  20190214A  497.7   69.8   11.4   14.500  1 
FRB  20190215B  274.6  136.2   44.5    0.864  1 
FRB  20190217A  798.1  110.7   15.4    0.860  1 
FRB  20190218A 1285.1   31.4   13.7    1.410  1 
FRB  20190218C  319.3   43.7   67.5    0.206  1 
FRB  20190219A  657.2   78.8   23.0    1.592  1 
FRB  20190219B 1681.1   37.7   29.1    2.420  1 
FRB  20190219C  806.7  124.1    9.1    2.080  1 
FRB  20190220A  216.1   40.9   10.3    0.550  1 
FRB  20190221C 2042.3  220.6   19.3    1.180  1 
FRB  20190221D  473.8  189.6   10.0    0.774  1 
FRB  20190222C  524.0   29.5   16.2    0.676  1 
FRB  20190223B  536.5  124.7    9.0    0.654  1 
FRB  20190224E  435.9   33.1   46.5    0.549  1 
FRB  20190226B  631.6   50.7    9.2    4.000  1 
FRB  20190227A  394.0   63.4   63.4    1.296  1 
FRB  20190227B  331.2   23.9    9.4    0.403  1 
FRB  20190301B  621.3   82.8    9.3    1.320  1 
FRB  20190301D 1160.7   53.1   10.4    0.000  1 
FRB  20190302A 1034.2  220.7   20.4    7.100  1 
FRB  20190303B  193.5   47.1   52.3    0.715  1 
FRB  20190303D  711.2   37.1    9.8    0.810  1 
FRB  20190304A  483.7   49.8   22.3    0.408  1 
FRB  20190308C  500.5   23.1   22.3    0.550  1 
FRB  20190309A  356.9   58.6    9.3    0.581  1 
FRB  20190313B 1191.2   59.8   14.1    0.640  1 
FRB  20190317A 1157.3  138.0    9.3    0.710  1 
FRB  20190317B  424.3   80.6    9.9    1.250  1 
FRB  20190317F 1118.1   33.3   53.6    1.700  1 
FRB  20190318A  419.3   85.4   24.8    0.930  1 
FRB  20190320A  614.1  143.9   15.7    1.180  1 
FRB  20190320B  489.5   37.7   17.9    0.932  1 
FRB  20190320D 1141.3   43.8   12.5    5.800  1 
FRB  20190322A 1060.1   63.6   19.0    2.830  1 
FRB  20190322B  577.0   47.0   10.1    1.300  1 
FRB  20190322C 1192.1   65.8   53.1    0.140  1 
FRB  20190323B  789.6   40.3   57.2    0.134  1 
FRB  20190323C  381.1   23.6   11.5    0.310  1 
FRB  20190323D  763.6  162.4    9.4    5.430  1 
FRB  20190325C  797.8  188.4   11.7    3.200  1 
FRB  20190326A  283.3   40.7   11.7    0.457  1 
FRB  20190328A 1303.6   51.8   10.2    7.400  1 
FRB  20190329A  188.6   87.8   11.7    1.040  1 
FRB  20190329B  406.1   66.0   15.3    0.420  1 
FRB  20190329C 1256.4   60.4   26.7    1.262  1 
FRB  20190330B  668.1   48.9   44.9    0.342  1 
FRB  20190402A 1291.7   26.4   10.9    5.330  1 
FRB  20190403C  935.0   38.9    9.0    0.870  1 
FRB  20190404B  489.4   45.0  134.0    0.331  1 
FRB  20190408A  863.4   46.0    9.2    0.839  1 
FRB  20190409B  285.6   47.8   12.3    2.340  1 
FRB  20190409C  674.6   43.0   11.2    1.080  1 
FRB  20190412A  364.7   37.5   42.0    1.243  1 
FRB  20190414A  812.0   20.2   13.5    1.950  1 
FRB  20190414B  506.5   37.8   13.6    4.570  1 
FRB  20190415A  633.7   37.0   12.1    2.480  1 
FRB  20190415B  723.0  155.4   29.6    3.610  1 
FRB  20190417B 1161.2   35.0   14.9    1.900  1 
FRB  20190417C  320.2  122.0   52.2    0.413  1 
FRB  20190419A  440.0   62.3   10.6    1.850  1 
FRB  20190420A  609.1   65.7   15.9    0.770  1 
FRB  20190420B  846.8   67.4   28.0    0.300  1 
FRB  20190421B  392.2   96.4   78.9    1.123  1 
FRB  20190422B  977.4   34.1   11.1    3.240  1 
FRB  20190423A  242.6   31.6   39.0    2.366  1 
FRB  20190424A  758.7   35.5   18.1    0.666  1 
FRB  20190426A  340.7   55.9   23.9    0.398  1 
FRB  20190429A  470.9   57.6    9.7    1.250  1 
FRB  20190430B 2619.4   36.4   10.0    0.000  1 
FRB  20190501B  784.1   43.6   24.3    0.840  1 
FRB  20190502A  625.8   35.0   67.5    0.849  1 
FRB  20190502B  918.6   33.8   59.7    1.201  1 
FRB  20190515A  450.5  157.4   20.9    1.770  1 
FRB  20190517D 1180.1   93.3    9.4    2.300  1 
FRB  20190518G  524.9   63.0   20.2    0.666  1 
FRB  20190519D  539.8   30.5   18.6    1.830  1 
FRB  20190519E  693.8   27.5   17.0    0.414  1 
FRB  20190519F  797.8   42.1   20.2    1.360  1 
FRB  20190519G  430.1   73.5   28.3    3.060  1 
FRB  20190527C  535.4   73.8   48.7    0.491  1 
FRB  20190529A  704.5  165.5   10.6    1.040  1 
FRB  20190530A  555.4  139.2   11.5    1.020  1 
FRB  20190531B  168.0   43.1   55.3    0.670  1 
FRB  20190531C  478.2  132.4    9.7    1.450  1 
FRB  20190601A 2227.9   33.0   15.1    1.720  1 
FRB  20190603B  504.3  100.3   11.8    1.540  1 
FRB  20190604C  515.6  163.9   45.1    5.410  1 
FRB  20190604G  233.0   51.4   21.1    1.190  1 
FRB  20190607B  289.4  138.3   15.8    0.916  1 
FRB  20190609D  511.7   57.5   16.6    1.580  1 
FRB  20190612A  432.3   41.7   16.6    1.940  1 
FRB  20190612C 1641.6  107.8   38.7    0.925  1 
FRB  20190613B  285.1  168.8   37.7    0.426  1 
FRB  20190619A  899.9   37.6   14.3    0.939  1 
FRB  20190619D  378.5   64.0   13.4    1.390  1 
FRB  20190621B 1061.2   30.7   11.4    1.380  1 
FRB  20190623B 1556.8  143.8   25.3    0.000  1 
FRB  20190624A  973.8   37.8   15.3    1.520  1 
FRB  20190624B  213.9   69.7   39.1    0.372  1 
FRB  20190627B  430.3   42.0   56.2    0.444  1 
FRB  20190627C  968.6   48.0   49.9    0.820  1 
FRB  20190627D 2002.2  132.0   12.0    0.000  1 
FRB  20190628A  745.8   29.8   10.9    0.477  1 
FRB  20190628C 1748.4   98.8   10.0    4.200  1 
FRB  20190630B  652.1  150.5   48.3    1.870  1 
FRB  20190701A  637.1   54.3   12.1    0.608  1 
FRB  20190701D  933.4   56.0   34.4    1.400  1 
FRB  20190701E  890.5   42.4   15.2    0.420  1 
FRB  20180814A  189.3   87.8   11.0    2.540  11 
FRB  20180908B  195.2   38.2   11.3    1.882  2 
FRB  20180916B  349.3  198.9   18.7    0.765  19 
FRB  20181017A 1281.9   42.9   12.9    2.770  2 
FRB  20181030A  103.4   41.1   11.5    0.695  2 
FRB  20181119A  364.1   33.8   11.1    6.840  3 
FRB  20181128A  450.4  112.4   23.4    1.820  3 
FRB  20190208A  579.8   71.4   12.2    6.790  2 
FRB  20190209A  424.8   45.7   11.8    1.430  2 
FRB  20190222A  460.2   87.2   31.2    1.839  2 
FRB  20190303A  221.7   29.9   11.2    1.670  2 
FRB  20190417A 1380.1   78.2   13.4    2.990  1 
FRB  20190604A  552.5   31.6   33.8    1.840  2
