BW    336 #MHz
NFRB 31 #Number of FRBs
BEAM chime_bound_5 #prefix of beam file
TOBS 0.0239 # Actually the solid angle of observation!
THRESH 5 #Jy ms to a 1 ms burst, very basic. Likely higher
SNRTHRESH 10 # signal-to-noise threshold: scales jy ms to snr.
TRES 0.983 #ms
FRES 0.0244
FBAR 600 # mean frequency (MHz)
KEY  Xname         DM     DMG     SNR     WIDTH  NREP
FRB  FRB20180730A  849.2   59.5   69.5    0.468  1 
FRB  FRB20180907D 1444.4   53.3   12.3    2.220  1 
FRB  FRB20180910A  684.2   57.9   36.6    0.205  1 
FRB  FRB20181122B  224.8   53.4   64.9    0.246  1 
FRB  FRB20181222E  328.4   60.3   17.7    0.254  1 
FRB  FRB20181222E  328.4   60.3   17.7    0.910  1 
FRB  FRB20181225B  299.2   58.2   19.1    1.297  1 
FRB  FRB20181230E 1041.7   54.5   13.9    1.880  1 
FRB  FRB20190210C  642.1   54.0   19.7    0.286  1 
FRB  FRB20190210E  580.7   58.0    9.5    0.960  1 
FRB  FRB20190223A  389.8   58.7   13.2    0.763  1 
FRB  FRB20190224D  752.1   55.4   29.0    0.673  1 
FRB  FRB20190320E  299.2   55.9   32.7    0.833  1 
FRB  FRB20190328B  564.5   49.6    9.3    1.600  1 
FRB  FRB20190403A  519.2   54.6   10.8    1.500  1 
FRB  FRB20190403E  220.0   43.7   23.7    2.200  1 
FRB  FRB20190405B 1111.2   51.9   20.6    0.820  1 
FRB  FRB20190419B  166.6   53.8   24.6    0.656  1 
FRB  FRB20190423C  855.7   60.6   14.8    0.000  1 
FRB  FRB20190425B 1030.3   51.3   18.2    1.108  1 
FRB  FRB20190430A  349.4   68.0   11.1    3.380  1 
FRB  FRB20190518D  202.2   53.7   14.9    0.260  1 
FRB  FRB20190519H 1169.5   58.0   39.7    0.255  1 
FRB  FRB20190519J  642.1   55.4    9.5    0.460  1 
FRB  FRB20190606B  275.0   52.6   29.2    1.010  1 
FRB  FRB20190609A  315.4   57.2   10.8    0.432  1 
FRB  FRB20190609A  315.4   57.2   10.8    2.120  1 
FRB  FRB20190609B  292.8   52.9   41.2    0.550  1 
FRB  FRB20190614A 1062.7   51.0   12.4    0.000  1 
FRB  FRB20190622A 1120.9   54.9    9.9    1.190  1 
FRB  FRB20190623C 1049.8   48.8   12.5    0.000  1 
