BW 400 #MHz
NFRB 42 #Number of FRBs
BEAM chime_bound_14_of_30 #prefix of beam file
TOBS 0.8500728862965219 # Actually the solid angle of observation!
THRESH 5 #Jy ms to a 1 ms burst, very basic. 95% comleteness. Likely lower
SNRTHRESH 10 # signal-to-noise threshold: scales jy ms to snr.
TRES 0.983 #ms
FRES 0.0244 #Mhz
FBAR 600 # mean frequency (MHz)
KEY  TNS         DM     DMG     SNR     WIDTH  NREP
FRB  FRB20180810A  414.9  104.7   13.1    0.322  1 
FRB  FRB20180907A  877.2   92.0   15.3    0.870  1 
FRB  FRB20180924A 1116.5   69.2   18.2    0.870  1 
FRB  FRB20180928A  252.8  158.1   37.7    0.269  1 
FRB  FRB20181013A  309.3   48.1   25.6    0.512  1 
FRB  FRB20181013C 1005.8   38.6   12.6    0.760  1 
FRB  FRB20181018C  411.2  146.2   29.4    0.477  1 
FRB  FRB20181022D  514.3   20.1   35.6    0.594  1 
FRB  FRB20181119B  609.1  442.3   49.9    3.330  1 
FRB  FRB20181124B  801.6  104.9   29.0    1.119  1 
FRB  FRB20181125A  272.2   38.0   18.3    1.580  1 
FRB  FRB20181128B  456.5   33.5   13.3    1.680  1 
FRB  FRB20181214F 2105.8   40.3   11.0    2.300  1 
FRB  FRB20181222B  619.2  148.2    9.5    0.596  1 
FRB  FRB20190101B 1323.9  234.0   14.0    0.320  1 
FRB  FRB20190104A  549.4  151.5   17.2    0.800  1 
FRB  FRB20190117D 1178.1   22.6   15.7    1.260  1 
FRB  FRB20190122A 1231.2   64.6   11.7    5.500  1 
FRB  FRB20190122B  469.6   54.5    9.3    1.920  1 
FRB  FRB20190202B  464.9   70.1   20.2    0.510  1 
FRB  FRB20190226A  601.6   91.3   10.6    0.453  1 
FRB  FRB20190301C  802.9   20.5    9.1    1.240  1 
FRB  FRB20190307B  294.0   54.9   11.8    0.000  1 
FRB  FRB20190317C  598.3   53.6   11.4    1.400  1 
FRB  FRB20190323A  857.5   72.8   14.7    0.540  1 
FRB  FRB20190325B 1733.9   19.8    9.8    1.350  1 
FRB  FRB20190327A  346.6   88.8   31.9    0.302  1 
FRB  FRB20190330A  509.0   24.9    9.4    0.970  1 
FRB  FRB20190403F  664.2   67.4   11.9    1.040  1 
FRB  FRB20190404A 1353.9   40.3   24.3    1.360  1 
FRB  FRB20190415C  650.2  168.5    9.2    0.550  1 
FRB  FRB20190416A 2287.3   39.2   14.6    0.720  1 
FRB  FRB20190416B  575.4   20.6   19.7    0.000  1 
FRB  FRB20190420C  630.0   35.8   10.7    1.950  1 
FRB  FRB20190422A  452.3   79.5   18.3    2.000  1 
FRB  FRB20190604E 1218.6   26.0   16.8    0.962  1 
FRB  FRB20190614C  589.2   57.5   12.0    2.590  1 
FRB  FRB20190616A  212.6   25.5   14.6    0.654  1 
FRB  FRB20190617C  640.2   45.4   14.1    3.880  1 
FRB  FRB20190619C  488.3   69.3   10.2    0.399  1 
FRB  FRB20190625A  302.1   23.1   19.8    3.920  1 
FRB  FRB20181119D  564.4  188.5   23.7    8.100  1
