BW 400 #MHz
NFRB 50 #Number of FRBs
BEAM chime_bound_4_of_6 #prefix of beam file
TOBS 0.10646560758593053 # Actually the solid angle of observation!
THRESH 5 #Jy ms to a 1 ms burst, very basic. 95% comleteness. Likely lower
SNRTHRESH 10 # signal-to-noise threshold: scales jy ms to snr.
TRES 0.983 #ms
FRES 0.0244 #Mhz
FBAR 600 # mean frequency (MHz)
KEY  Xname         DM     DMG     SNR     WIDTH  NREP
FRB  FRB20180810B  169.1   45.8   38.6    0.311  1 
FRB  FRB20180812A  802.5   80.4   12.5    0.000  1 
FRB  FRB20180904A  361.1   55.4   40.8    0.527  1 
FRB  FRB20180911A  221.3   56.6   17.5    0.831  1 
FRB  FRB20180916A  296.0   78.4   21.4    0.000  1 
FRB  FRB20181015A  568.8   46.5   11.1    0.738  1 
FRB  FRB20181020A 1112.5   72.2   11.6    1.960  1 
FRB  FRB20181022C  528.5   49.9   15.0    0.800  1 
FRB  FRB20181117B  538.2   65.0   17.1    1.280  1 
FRB  FRB20181119C  285.0   44.7   27.0    0.449  1 
FRB  FRB20181122B  225.8   54.4   64.9    0.246  1 
FRB  FRB20181126A  494.2   49.6   51.6    0.407  1 
FRB  FRB20181129B  405.9   62.1   11.8    0.364  1 
FRB  FRB20181220B  257.8   53.6   13.4    0.558  1 
FRB  FRB20181221B 1395.0   61.9   26.7    1.037  1 
FRB  FRB20181230A  769.6   68.4   14.1    1.640  1 
FRB  FRB20181230B 1137.4   85.0   12.8    4.300  1 
FRB  FRB20190107B  166.1   70.0   20.6    0.451  1 
FRB  FRB20190115B  748.3   63.8   18.2    1.550  1 
FRB  FRB20190124D  340.1   45.6    9.1    0.500  1 
FRB  FRB20190127B  663.0   48.4   11.5    2.500  1 
FRB  FRB20190128C  310.6   71.3   10.1    6.160  1 
FRB  FRB20190131E  279.8   43.3   20.9    0.000  1 
FRB  FRB20190201A  242.0   62.4   11.0    0.608  1 
FRB  FRB20190205A  695.4   67.7    9.5    0.602  1 
FRB  FRB20190206B  352.5   78.5    9.7    7.100  1 
FRB  FRB20190208B  714.2   60.6   96.4    0.000  1 
FRB  FRB20190208C  238.4   49.7   16.3    0.411  1 
FRB  FRB20190224A  818.4   65.5   11.7    2.040  1 
FRB  FRB20190224B  839.4   51.4   10.0    0.639  1 
FRB  FRB20190228B 1115.2   71.3   30.5    0.970  1 
FRB  FRB20190308B  180.2   68.7   10.3    0.520  1 
FRB  FRB20190325A  359.3   51.0   13.3    1.560  1 
FRB  FRB20190328C  472.9   64.7   18.2    0.770  1 
FRB  FRB20190401A  783.2   42.4   22.9    3.520  1 
FRB  FRB20190403D  613.5   63.0   10.9    1.310  1 
FRB  FRB20190411A  460.6   60.8   11.0    0.417  1 
FRB  FRB20190423D  496.5   66.2   23.9    1.900  1 
FRB  FRB20190502C  396.8   47.4   23.8    0.527  1 
FRB  FRB20190531A  324.7   44.0   10.9    0.628  1 
FRB  FRB20190601D  668.5   63.9   10.6    4.670  1 
FRB  FRB20190617A  195.8   46.7   27.1    1.489  1 
FRB  FRB20190619B  270.6   45.9   19.7    0.516  1 
FRB  FRB20190621D  647.5   50.7   17.4    2.290  1 
FRB  FRB20190622A 1122.8   56.8    9.9    1.190  1 
FRB  FRB20190628B  408.0   46.5   12.4    0.270  1 
FRB  FRB20190630C 1660.3   68.0   10.8    1.210  1 
FRB  FRB20190701B  749.1   61.5   15.0    0.630  1 
FRB  FRB20190701C  974.2   58.4   11.5    1.440  1 
FRB  FRB20190212A  301.8   52.9    9.9    2.760  2
