BW 400 #MHz
NFRB 55 #Number of FRBs
BEAM chime_bound_17_of_30 #prefix of beam file
TOBS 0.41197701013257376 # Actually the solid angle of observation!
THRESH 5 #Jy ms to a 1 ms burst, very basic. 95% comleteness. Likely lower
SNRTHRESH 10 # signal-to-noise threshold: scales jy ms to snr.
TRES 0.983 #ms
FRES 0.0244 #Mhz
FBAR 600 # mean frequency (MHz)
KEY  Xname         DM     DMG     SNR     WIDTH  NREP
FRB  FRB20180725A  715.8   71.6   19.2    0.296  1 
FRB  FRB20180918A 1454.0   80.0   14.0    0.550  1 
FRB  FRB20180920B  463.4   33.2   10.5    2.330  1 
FRB  FRB20180922A  555.7  141.3   24.5    0.806  1 
FRB  FRB20181012B  715.2   33.5   11.8    0.560  1 
FRB  FRB20181013E  345.3   80.8   10.7    0.860  1 
FRB  FRB20181014A 1314.9  186.7   18.2    2.050  1 
FRB  FRB20181019B  725.2  159.8   11.3    1.300  1 
FRB  FRB20181019C  501.6   39.2   11.5    0.723  1 
FRB  FRB20181025A  592.6   61.7   18.8    0.355  1 
FRB  FRB20181116B  409.9   36.4   16.0    0.642  1 
FRB  FRB20181124A 1108.5   34.4   10.4    1.470  1 
FRB  FRB20181202B  825.9   33.7   16.1    0.610  1 
FRB  FRB20181208A  562.8   45.2   22.3    0.930  1 
FRB  FRB20181209A  328.7   65.7   24.2    0.597  1 
FRB  FRB20181218A 1874.4  147.2   18.6    1.390  1 
FRB  FRB20181218B  753.4  169.6   10.9    1.690  1 
FRB  FRB20181219B 1952.2   37.3   23.1    0.574  1 
FRB  FRB20181222C 1104.9   46.4   11.0    1.520  1 
FRB  FRB20181228B  568.7   40.0   15.5    0.000  1 
FRB  FRB20181231C  556.1   35.5   18.2    0.000  1 
FRB  FRB20190105A  383.6   46.4   10.9    3.900  1 
FRB  FRB20190116C  629.3   41.9   74.4    0.708  1 
FRB  FRB20190116D 1164.0   78.5   11.5    1.040  1 
FRB  FRB20190203A  420.6   45.9   32.0    0.550  1 
FRB  FRB20190211A 1188.3  103.9   20.2    0.360  1 
FRB  FRB20190212D 1139.8   35.4    9.7    1.050  1 
FRB  FRB20190214A  497.7   69.8   11.4   14.500  1 
FRB  FRB20190303B  193.5   47.1   52.3    0.715  1 
FRB  FRB20190303D  711.2   37.1    9.8    0.810  1 
FRB  FRB20190320A  614.1  143.9   15.7    1.180  1 
FRB  FRB20190322C 1192.1   65.8   53.1    0.140  1 
FRB  FRB20190408A  863.4   46.0    9.2    0.839  1 
FRB  FRB20190409B  285.6   47.8   12.3    2.340  1 
FRB  FRB20190409C  674.6   43.0   11.2    1.080  1 
FRB  FRB20190415A  633.7   37.0   12.1    2.480  1 
FRB  FRB20190417B 1161.2   35.0   14.9    1.900  1 
FRB  FRB20190417C  320.2  122.0   52.2    0.413  1 
FRB  FRB20190419A  440.0   62.3   10.6    1.850  1 
FRB  FRB20190420B  846.8   67.4   28.0    0.300  1 
FRB  FRB20190421B  392.2   96.4   78.9    1.123  1 
FRB  FRB20190424A  758.7   35.5   18.1    0.666  1 
FRB  FRB20190430B 2619.4   36.4   10.0    0.000  1 
FRB  FRB20190502B  918.6   33.8   59.7    1.201  1 
FRB  FRB20190601A 2227.9   33.0   15.1    1.720  1 
FRB  FRB20190612A  432.3   41.7   16.6    1.940  1 
FRB  FRB20190619A  899.9   37.6   14.3    0.939  1 
FRB  FRB20190624A  973.8   37.8   15.3    1.520  1 
FRB  FRB20190627C  968.6   48.0   49.9    0.820  1 
FRB  FRB20190701D  933.4   56.0   34.4    1.400  1 
FRB  FRB20180916B  349.3  198.9   18.7    0.765  19 
FRB  FRB20181017A 1281.9   42.9   12.9    2.770  2 
FRB  FRB20181119A  364.1   33.8   11.1    6.840  3 
FRB  FRB20181128A  450.4  112.4   23.4    1.820  3 
FRB  FRB20190222A  460.2   87.2   31.2    1.839  2
