BW 400 #MHz
NFRB 58 #Number of FRBs
BEAM chime_bound_13_of_30 #prefix of beam file
TOBS 0.8596401404188717 # Actually the solid angle of observation!
THRESH 5 #Jy ms to a 1 ms burst, very basic. 95% comleteness. Likely lower
SNRTHRESH 10 # signal-to-noise threshold: scales jy ms to snr.
TRES 0.983 #ms
FRES 0.0244 #Mhz
FBAR 600 # mean frequency (MHz)
KEY  Xname         DM     DMG     SNR     WIDTH  NREP
FRB  FRB20180727A  642.1   21.2   10.4    1.390  1 
FRB  FRB20180915B  177.1   22.4   12.5    1.694  1 
FRB  FRB20180920A  555.7  160.8   13.5    2.220  1 
FRB  FRB20180923C  174.0   29.1   15.0    0.320  1 
FRB  FRB20180925B  667.9   39.7   12.0    1.150  1 
FRB  FRB20181022E  286.0   21.8   15.5    0.400  1 
FRB  FRB20181117C 1773.7   66.1   28.3    0.000  1 
FRB  FRB20181127A  930.3   32.2   15.7    0.740  1 
FRB  FRB20181203A  635.9   46.7   19.2    0.171  1 
FRB  FRB20181203B  375.4   56.7   25.6    0.578  1 
FRB  FRB20181221A  316.2   24.4   18.6    0.754  1 
FRB  FRB20181223B  565.7   25.5   12.4    1.570  1 
FRB  FRB20181223C  112.5   19.9   19.5    0.508  1 
FRB  FRB20181226D  385.4   65.0   24.2    0.571  1 
FRB  FRB20181231A 1376.7   43.0   28.3    0.705  1 
FRB  FRB20190101A  854.6   24.3   17.7    1.300  1 
FRB  FRB20190102A  699.2   43.6   22.4    0.824  1 
FRB  FRB20190102B  367.2   41.1   22.9    0.851  1 
FRB  FRB20190107A  849.2   39.9    9.0   25.900  1 
FRB  FRB20190111A  172.0   21.5   64.3    0.000  1 
FRB  FRB20190118B  670.9   50.2    9.7    3.700  1 
FRB  FRB20190124B  441.4   21.6   14.5    1.500  1 
FRB  FRB20190124C  303.6   21.4   47.5    1.773  1 
FRB  FRB20190125A  564.7   60.4    9.4    3.210  1 
FRB  FRB20190128A  696.1   43.6   11.8    1.850  1 
FRB  FRB20190128B  248.2   57.2   14.1    0.603  1 
FRB  FRB20190129A  484.8   52.1   12.7    1.130  1 
FRB  FRB20190131D  642.1   67.5   18.7    0.348  1 
FRB  FRB20190210B  624.2  116.5   43.9    0.397  1 
FRB  FRB20190212C 1016.5   22.4   12.2    4.420  1 
FRB  FRB20190217B  846.2   45.8   10.8    0.660  1 
FRB  FRB20190221B  393.1  165.5   13.7    3.940  1 
FRB  FRB20190222D  895.3  115.6    9.4    0.601  1 
FRB  FRB20190226C  827.8   44.5   10.6    1.310  1 
FRB  FRB20190228A  419.1   20.2   37.8    2.250  1 
FRB  FRB20190303C 1089.7   23.1   15.6    1.760  1 
FRB  FRB20190304B  470.0   22.6   20.8    0.330  1 
FRB  FRB20190304C  565.0   22.1   10.8    0.948  1 
FRB  FRB20190320C  368.8   47.1   11.4    1.040  1 
FRB  FRB20190403G  865.3  165.3   11.4    1.590  1 
FRB  FRB20190405A  424.9   47.3    9.6    1.110  1 
FRB  FRB20190409D 1300.1   54.7   16.1    1.550  1 
FRB  FRB20190411B 1229.6   35.3   15.6    1.380  1 
FRB  FRB20190423B  584.9  482.6   15.9    8.500  1 
FRB  FRB20190425A  128.2   48.8   57.6    0.380  1 
FRB  FRB20190428A  969.4   27.0   33.0    0.374  1 
FRB  FRB20190430C  400.6   99.1   22.5    0.893  1 
FRB  FRB20190517C  335.6  188.0   25.0    0.377  1 
FRB  FRB20190520A  432.5   79.7   21.8    0.649  1 
FRB  FRB20190601B  787.8   41.9   29.3    4.040  1 
FRB  FRB20190601C  424.1  186.4   25.1    0.510  1 
FRB  FRB20190605D 1656.5   48.8   10.9    1.069  1 
FRB  FRB20190607A  562.5   44.0   97.7    1.736  1 
FRB  FRB20190609C  480.3  112.7   11.0    2.070  1 
FRB  FRB20190614B  581.9   54.9   57.6    0.648  1 
FRB  FRB20190618A  228.9   77.2   33.4    0.548  1 
FRB  FRB20190623A 1082.2   74.2    9.6    0.980  1 
FRB  FRB20190116A  445.5   19.9   15.8    5.540  2 
