BW 400 #MHz
NFRB 86 #Number of FRBs
BEAM chime_bound_16_of_30 #prefix of beam file
TOBS 0.8326411212682199 # Actually the solid angle of observation!
THRESH 5 #Jy ms to a 1 ms burst, very basic. 95% comleteness. Likely lower
SNRTHRESH 10 # signal-to-noise threshold: scales jy ms to snr.
TRES 0.983 #ms
FRES 0.0244 #Mhz
FBAR 600 # mean frequency (MHz)
KEY  TNS         DM     DMG     SNR     WIDTH  NREP
FRB  FRB20180729A  109.6   30.8   32.0    0.000  1 
FRB  FRB20180729B  317.2   94.0   12.4    0.314  1 
FRB  FRB20180906B 3038.1   31.4   10.7    0.000  1 
FRB  FRB20180909A  408.6   49.8   11.0    6.310  1 
FRB  FRB20180923D  329.4   30.7   48.1    0.000  1 
FRB  FRB20181013B  277.5   85.8   11.7    2.800  1 
FRB  FRB20181018A 1129.4  120.9   10.8    8.500  1 
FRB  FRB20181101A 1472.7  144.9   14.1    6.030  1 
FRB  FRB20181115A  981.6   40.0   18.8    1.830  1 
FRB  FRB20181117A  959.3   38.1   12.2    2.340  1 
FRB  FRB20181119E 1169.8  220.3   11.2    1.480  1 
FRB  FRB20181122A  662.8  196.1   12.2    0.680  1 
FRB  FRB20181123A  798.7  103.8   17.0    0.580  1 
FRB  FRB20181128C  618.4   49.1   11.0    0.000  1 
FRB  FRB20181128D  146.5   32.7   47.0    1.071  1 
FRB  FRB20181201B  876.6   51.3   14.2    2.240  1 
FRB  FRB20181202C  557.2  126.5   10.4    0.490  1 
FRB  FRB20181213B  626.6   30.6   12.3    0.850  1 
FRB  FRB20181214C  632.8   33.3   29.1    0.631  1 
FRB  FRB20181216A  542.7  146.7   11.0    0.220  1 
FRB  FRB20181217A 1177.2   69.8   12.5    1.015  1 
FRB  FRB20181218C  384.2   64.4    9.2    5.200  1 
FRB  FRB20181222D 1417.1   31.2   10.5    3.750  1 
FRB  FRB20181224C  596.3   55.3   13.3    2.370  1 
FRB  FRB20181224D  690.2   31.4   11.2    1.600  1 
FRB  FRB20181228C  510.7   45.6   11.1    0.880  1 
FRB  FRB20181230C 1037.2   36.9   14.3    0.760  1 
FRB  FRB20181230D  224.0   40.6   13.3    0.419  1 
FRB  FRB20181231B  197.2   46.9   33.2    0.337  1 
FRB  FRB20190103D 1913.6   33.3   10.5    0.000  1 
FRB  FRB20190110B  486.1   45.5   12.3    0.750  1 
FRB  FRB20190112A  425.8   42.0   27.8    1.640  1 
FRB  FRB20190115A 1021.7  186.4   10.4    0.890  1 
FRB  FRB20190116E 1491.0  128.4   11.9    0.607  1 
