BW 400 #MHz
NFRB 86 #Number of FRBs
BEAM chime_bound_16_of_30 #prefix of beam file
TOBS 0.8326411212682199 # Actually the solid angle of observation!
THRESH 5 #Jy ms to a 1 ms burst, very basic. 95% comleteness. Likely lower
SNRTHRESH 10 # signal-to-noise threshold: scales jy ms to snr.
TRES 0.983 #ms
FRES 0.0244 #Mhz
FBAR 600 # mean frequency (MHz)
FRB  FRB20190124A 1275.9  176.6   14.4    2.270  1 
FRB  FRB20190125B  178.2   33.2   13.2    2.470  1 
FRB  FRB20190201B  749.2   54.2   19.8    0.800  1 
FRB  FRB20190203B  582.2   45.8    9.0    0.300  1 
FRB  FRB20190204A  449.6   36.1   10.1    1.810  1 
FRB  FRB20190210D  359.1  141.2   20.6    0.580  1 
FRB  FRB20190211B  260.7   84.5   12.7    0.000  1 
FRB  FRB20190212B  600.2   41.2   29.0    0.226  1 
FRB  FRB20190213D 1346.8  234.5   18.7    0.626  1 
FRB  FRB20190218A 1285.1   31.4   13.7    1.410  1 
FRB  FRB20190219B 1681.1   37.7   29.1    2.420  1 
FRB  FRB20190219C  806.7  124.1    9.1    2.080  1 
FRB  FRB20190221C 2042.3  220.6   19.3    1.180  1 
FRB  FRB20190221D  473.8  189.6   10.0    0.774  1 
FRB  FRB20190223B  536.5  124.7    9.0    0.654  1 
FRB  FRB20190224E  435.9   33.1   46.5    0.549  1 
FRB  FRB20190226B  631.6   50.7    9.2    4.000  1 
FRB  FRB20190227A  394.0   63.4   63.4    1.296  1 
FRB  FRB20190302A 1034.2  220.7   20.4    7.100  1 
FRB  FRB20190309A  356.9   58.6    9.3    0.581  1 
FRB  FRB20190317B  424.3   80.6    9.9    1.250  1 
FRB  FRB20190320D 1141.3   43.8   12.5    5.800  1 
FRB  FRB20190322A 1060.1   63.6   19.0    2.830  1 
FRB  FRB20190325C  797.8  188.4   11.7    3.200  1 
FRB  FRB20190328A 1303.6   51.8   10.2    7.400  1 
FRB  FRB20190329C 1256.4   60.4   26.7    1.262  1 
FRB  FRB20190330B  668.1   48.9   44.9    0.342  1 
FRB  FRB20190403C  935.0   38.9    9.0    0.870  1 
FRB  FRB20190412A  364.7   37.5   42.0    1.243  1 
FRB  FRB20190414B  506.5   37.8   13.6    4.570  1 
FRB  FRB20190415B  723.0  155.4   29.6    3.610  1 
FRB  FRB20190420A  609.1   65.7   15.9    0.770  1 
FRB  FRB20190423A  242.6   31.6   39.0    2.366  1 
FRB  FRB20190426A  340.7   55.9   23.9    0.398  1 
FRB  FRB20190429A  470.9   57.6    9.7    1.250  1 
FRB  FRB20190501B  784.1   43.6   24.3    0.840  1 
FRB  FRB20190502A  625.8   35.0   67.5    0.849  1 
FRB  FRB20190515A  450.5  157.4   20.9    1.770  1 
FRB  FRB20190527C  535.4   73.8   48.7    0.491  1 
FRB  FRB20190530A  555.4  139.2   11.5    1.020  1 
FRB  FRB20190531B  168.0   43.1   55.3    0.670  1 
FRB  FRB20190604C  515.6  163.9   45.1    5.410  1 
FRB  FRB20190604G  233.0   51.4   21.1    1.190  1 
FRB  FRB20190607B  289.4  138.3   15.8    0.916  1 
FRB  FRB20190609D  511.7   57.5   16.6    1.580  1 
FRB  FRB20190612C 1641.6  107.8   38.7    0.925  1 
FRB  FRB20190621B 1061.2   30.7   11.4    1.380  1 
FRB  FRB20190628A  745.8   29.8   10.9    0.477  1 
FRB  FRB20190701A  637.1   54.3   12.1    0.608  1 
FRB  FRB20190701E  890.5   42.4   15.2    0.420  1 
FRB  FRB20190417A 1380.1   78.2   13.4    2.990  1 
FRB  FRB20190604A  552.5   31.6   33.8    1.840  2



